"Around the World in 80 Days NA, PAL• Le Tour du Monde en 80 Jours FR",No,2004,Saffire,Hip Games,"NA, PAL"
Arthur and the Invisibles NA• Arthur and The Minimoys PAL• Arthur et Les Minimoys FR• Arthur e il Popolo dei Minimei IT,N/A,2007,Mistic Software,Atari,"NA, PAL"
Ashita no Joe Makkani Moeagare!,N/A,2003,Konami,Konami,JP
Asterix & Obelix: Bash 'em All! PAL• Asterix & Obelix: Paf! Par Toutatis! FR• Asterix & Obelix: Jetzt Geht's Rund! DE,N/A,2002,Bit Managers,Infogrames,PAL
Asterix & Obelix XXL,N/A,2004,V3D Production,Atari,PAL
Asteroids / Pong / Yars' Revenge,N/A,2005,ECI Interactive,DSI Games,"NA, PAL"
"Astro Boy: Omega Factor NA, PAL• Astro Boy: Tetsuwan Atom JP",No,2003,Hitmaker,Sega,"NA, JP, PAL"
Atari Anniversary Advance Asteroids Battlezone Centipede Missile Command Super Breakout Tempest,N/A,2002,Digital Eclipse,Infogrames,"NA, PAL"
Atomic Betty,N/A,2005,Big Blue Bubble,Namco,"NA, PAL"
ATV Quad Power Racing,No,2002,Climax,AKA Acclaim,"NA, PAL"
ATV Thunder Ridge Riders,N/A,2006,SkyRiver Studios,DSI Games,"NA, PAL"
Avatar: The Last Airbender NA• Avatar: The Legend of Aang PAL• Avatar: Le Dernier Maître de l'Air FR• Avatar: Der Herr der Elemente DE,N/A,2006,THQ / TOSE / Halfbrick,THQ,"NA, PAL"
Avatar: The Last Airbender - The Burning Earth NA• Avatar: The Legend of Aang - The Burning Earth PAL• Avatar: Der Herr der Elemente - Die Erde Brennt DE,N/A,2007,THQ / Halfbrick,THQ,"NA, PAL"
Azumanga Daioh Advance,N/A,2003,TOSE,King Records,JP
"Babar: To the Rescue NA, PAL• Babar à la rescousse FR",N/A,2006,Sirius Software,The Game Factory,"NA, PAL"
Back to Stone,N/A,2006 (NA)2007 (PAL),Hidden Floor,Q3 Entertainment NANeko Entertainment PAL,"NA, PAL"
Back Track,Yes,2001,JV Games,Telegames,"NA, PAL"
Backyard Baseball,N/A,2003,GameBrains,Infogrames,NA
Backyard Baseball 2006,N/A,2005,GameBrains,Atari,NA
Backyard Basketball,N/A,2004,"Humongous Entertainment, Mistic",Atari,NA
Backyard Football,N/A,2002,Torus Games,Infogrames,NA
Backyard Football 2006,N/A,2005,Humongous Entertainment,Atari,NA
Backyard Hockey,N/A,2003,"Humongous Entertainment, Mistic",Atari,NA
Backyard Skateboarding,N/A,2005,Full Fat / Humongous Entertainment,Atari,NA
Backyard Sports: Baseball 2007,N/A,2006,Humongous Entertainment,Atari,NA
Backyard Sports: Basketball 2007,N/A,2006,"Humongous Entertainment, Mistic",Atari,NA
Backyard Football 2007,N/A,2006,Humongous Entertainment,Atari,NA
Bakuten Shoot Beyblade: Gekitou! Saikyou Blade,N/A,2001,AI,Broccoli,JP
Bakuten Shoot Beyblade 2002: Ikuze! Gekitou! Chou Jiryoku Battle!!,N/A,2002,Hudson Soft,Broccoli,JP
Bakuten Shoot Beyblade 2002: Gekisen! Team Battle!! Kouryuu no Shou - Daichi Version,N/A,2002,Hudson Soft,Broccoli,JP
Bakuten Shoot Beyblade 2002: Gekisen! Team Battle!! Seiryuu no Shou - Takao Version,N/A,2002,Hudson Soft,Broccoli,JP
Baldur's Gate: Dark Alliance,N/A,2004,Magic Pockets,Destination Software,"NA, PAL"
Ballistic: Ecks vs. Sever NA• Ecks vs. Sever II: Ballistic PAL,Yes (COOP),2002,Crawfish Int.,Bam Entertainment,"NA, PAL"
"Banjo-Kazooie: Grunty's Revenge NA, PAL• Banjo-Kazooie: La Revanche de Grunty FR• Banjo-Kazooie: Grunty's Rache DE• Banjo-Kazooie: La Venganza de Grunty ES• La vendetta di Grunty IT",No,2003,Rare,THQ,"NA, PAL"
Banjo-Pilot,Yes,2005,Rare,THQ,"NA, PAL"
Barbie and the Magic of Pegasus,N/A,2005,WayForward,VU Games,"NA, PAL"
Barbie as the Island Princess,N/A,2007,HumanSoft,Activision,NA
Barbie as the Princess and the Pauper,N/A,2004,WayForward,VU Games,"NA, PAL"
The Barbie Diaries: High School Mystery,N/A,2006,Gorilla Systems,Activision,"NA, PAL"
"Barbie in the 12 Dancing Princesses NA, PAL• Barbie au Bal des 12 Dancing Princesses FR• Barbie in die 12 Tanzenden Prinzessinnen DE",N/A,2007,WayForward,Activision,"NA, PAL"
Barbie Software - Horse Adventures: Blue Ribbon Race NA• Barbie Horse Adventures: The Big Race PAL• Barbie Pferdeabenteuer: Das große Reitturnier DE,N/A,2003,Möbius Entertainment,VU Games,"NA, PAL"
Barbie Software: Groovy Games,N/A,2002,Digital Illusions,VU Games,"NA, PAL"
Barbie Software - Secret Agent Barbie: Royal Jewels Mission NA• Barbie Software - Secret Agent Barbie PAL,N/A,2002,Digital Illusions,VU Games,"NA, PAL"
Barnyard NA• Nickelodeon Barnyard PAL• La Ferme en Folie FR• El Corral ES• Barnyard Il Cortile IT,N/A,2006,Halfbrick Studios,THQ,"NA, PAL"
Baseball Advance NA• Greatest Nine JP,No,2002,Smilebit,THQ NASega PAL,"NA, JP"
Bass Tsuri Shiyouze!: Tournament wa Senryaku da!,N/A,2002,,Konami,JP
Batman Begins,N/A,2005,Vicarious Visions,EA Games,"NA, PAL"
Batman: Rise of Sin Tzu,No,2003,Ubisoft,Ubisoft,NA
Batman: Vengeance,N/A,2001,Ubisoft Montreal,Ubisoft,"NA, PAL"
