&: Sora no Mukō de Saki Masuyō ni,Visual novel,Akatsuki Works,5pb.,Unreleased,Unreleased,"Dec 26, 2013",Yes,[3]
@Field,Sports,Sonic Powered,Sonic Powered,Unreleased,Unreleased,"Mar 29, 2012",No,[4]
1001 Spikes,Platform,8bits Fanatics,JP: PikiiWW: Nicalis,"Jun 3, 2014","Oct 7, 2015","Nov 27, 2015",Yes,
10 Second Ninja X,Platform,Four Circle Interactive,Curve Digital,"Jul 19, 2016","Jul 19, 2016",Unreleased,No,
12-ji no Kane to Cinderella,Otome game,QuinRose,QuinRose,Unreleased,Unreleased,"May 21, 2015",Yes,[5]
2013: Infected Wars,Third-person shooter,Action Mobile Games,Action Mobile Games,"Mar 24, 2015","Jul 2, 2015",Unreleased,No,[6]
2064: Read Only Memories,Adventure,MidBoss,JP: PlayismWW: MidBoss,"Dec 9, 2017","Jan 10, 2018","Apr 5, 2018",Yes,
36 Fragments of Midnight,Platform,Petite Games,Petite Games,"Oct 6, 2017","Sep 20, 2017",Unreleased,Yes,[7]
3rd Super Robot Wars Z: Jigoku-hen,Tactical role-playing,B.B. Studio,Bandai Namco Games,Unreleased,Unreleased,"Apr 10, 2014",Yes,[8]
3rd Super Robot Wars Z: Tengoku-hen,Tactical role-playing,B.B. Studio,Bandai Namco Entertainment,Unreleased,Unreleased,"Apr 2, 2015",Yes,[9]
5-nin no Koi Prince: Himitsu no Keiyaku Kekkon,Visual novel,Asgard,Asgard,Unreleased,Unreleased,"Jun 25, 2015",No,
7'scarlet,Otome game,OtomateToybox,JP: Idea FactoryWW: Aksys Games,"May 25, 2018","May 25, 2018","Jul 21, 2016",No,
99Vidas,Beat 'em up,QuByte Interactive,QuByte Interactive,"Jul 18, 2017",Unreleased,Unreleased,Yes,
A-Men,Action-puzzle,Bloober Team,JP: KemcoWW: Bloober Team,"Aug 13, 2013","Feb 22, 2012","Feb 1, 2012",North America only,[10]
A-Men 2,Action-puzzle,Bloober Team,Bloober Team,"Nov 5, 2013","Nov 6, 2013",Unreleased,No,[11]
A Winter's Daydream,Visual Novel,ebi-hime,Sometimes You,"Oct 8, 2019","Oct 8, 2019",Unreleased,No,
Aabs Animals,Pet-raising simulation,Aabs,Aabs,"Jul 9, 2013","Sep 11, 2013","Nov 29, 2012",No,[12]
Abunai Koi no Sōsashitsu: Eternal Happiness,Otome game,GignoSystem Japan,Asgard Japan,Unreleased,Unreleased,"May 21, 2015",No,[13]
Accel World vs. Sword Art Online: Millennium Twilight,Role-playing,Artdink,Bandai Namco Entertainment,"Jul 7, 2017","Jul 7, 2017","Mar 16, 2017",Yes,
Active Soccer 2 DX,Sports,The Fox Software,The Fox Software,"Jul 25, 2017","Dec 14, 2016",Unreleased,Yes,[14]
Actual Sunlight,Role-playing,Will O'Neill,WZO Games,"Aug 11, 2015","Oct 7, 2015",Unreleased,No,[15]
Adventures of Mana,Role-playing,Square Enix,Square Enix,"Jun 28, 2016","Jun 28, 2016","Feb 4, 2016",No,
Adventure Time: The Secret of the Nameless Kingdom,Action-adventure,WayForward Technologies,JP: BergsalaWW: Little Orbit,"Nov 18, 2014","Nov 18, 2014","Dec 16, 2016",Yes,
Aegis of Earth: Protonovus Assault,Tower defense,Acquire,JP: AcquireNA: Aksys GamesEU: PQube,"Mar 15, 2016","Apr 22, 2016","Jul 2, 2015",No,
Aerial Life,Visual Novel,Entergram,Entergram,Unreleased,Unreleased,"Oct 24, 2019",Yes,[16]
AeternoBlade,Action,CoreCell Technology,Arc System Works,"Feb 10, 2015","Feb 4, 2015","Dec 18, 2014",Yes,[17]
Age of Zombies,Action-adventure,Halfbrick StudiosBlitWorks,Halfbrick Studios,"Jan 14, 2014","Dec 18, 2013","Mar 23, 2017",No,
Ai Kiss,Visual Novel,Giga,Entergram,Unreleased,Unreleased,"Sep 24, 2020",Yes,
Air Race Speed,Racing,Qubic Games,Circle Entertainment,"Dec 20, 2016","Dec 20, 2016",Unreleased,Yes,[18]
Air,Visual novel,Key,Prototype,Unreleased,Unreleased,"Sep 8, 2016",Yes,
Airship Q,Action-adventuresandbox,Miracle Positive,CygamesSony Computer Entertainment,Unreleased,Unreleased,"Nov 19, 2015",Yes,
Aiyoku no Eustia: Angel's Blessing,Visual novel,August,Dramatic Create,Unreleased,Unreleased,"Jun 26, 2014",Yes,
Akai Suna Ochiru Tsuki,Otome GameRole-Playing,Landkarte,Dramatic Create,Unreleased,Unreleased,"Mar 10, 2016",Yes,[19]
AKB1/149 Ren'ai Sōsenkyo,Dating sim,Artdink,Bandai Namco Games,Unreleased,Unreleased,"Dec 20, 2012",Yes,[20]
Akiba's Beat,Action role-playing,Acquire,JP: AcquireNA: Xseed GamesEU: PQube,"May 16, 2017","May 19, 2017","Apr 27, 2017",No,
Akiba's Trip: Undead & Undressed,Action-adventure,Acquire,JP: AcquireNA: Marvelous USAEU: NIS America,"Aug 12, 2014","Oct 10, 2014","Nov 7, 2013",Yes,
Alia's Carnival: Sacrament,Visual novel,NanaWind,Dramatic Create,Unreleased,Unreleased,"Oct 29, 2015",Yes,[21]
Alien Breed,Action,Team17,Team17,"Feb 12, 2013","Feb 6, 2013",Unreleased,Yes,
Alien Shooter,Shooter,Sigma Team,4 Hit,"May 19, 2015","Apr 15, 2015",Unreleased,Yes,
Alone with You,Exploration game,Benjamin Rivers,Benjamin Rivers,"Aug 23, 2016","Aug 23, 2016",Unreleased,No,
