Title,Genre(s),Developer(s),Publisher(s),Release date,Ref.
Black Future '88,Action,Super Scary Snakes,JP: TeyonWW: Good Shepherd Entertainment,"November 21, 2019",
Black Hole,Twin-stick shooter,Dufgames,Dufgames,"February 6, 2018",
Black Legend,"Turn-based strategy, role-playing",Warcave,Warcave,"March 25, 2021",
Black Paradox,Shoot 'em up,Fantastico Studio,Digerati,"May 3, 2019",
Black Rainbow,Puzzle,Ocean Media,Ocean Media,"April 9, 2020",
Black Widow: Recharged,"Arcade, Action","AdamVision Studios, SneakyBox",Atari,"October 28, 2021",
Blackjack Hands,"Puzzle, Board game",Minimol games,QUByte Interactive,"October 20, 2020",
Blackmoor 2,Fighting,Four Fats,Four Fats,"January 6, 2020",
Blacksad: Under the Skin,Adventure,"Pendulo Studios, Ys Interactive",Microids,"December 10, 2019",
Blacksea Odyssey,Shoot 'em up,Digerati,Digerati,"December 24, 2018",
Blacksmith of the Sand Kingdom,"Adventure, Simulation, Strategy, Role-playing",Rideon,Kemco,"January 7, 2021",
Blackwind,Action platformer,Drakkar Dev,Blowfish Studios,"January 20, 2022",
Blade Arcus: Rebellion from Shining,Fighting,Studio Saizensen,Sega,"March 14, 2019",
Blade II: The Return of Evil,"Action, adventure, Role-playing",Action Square,Action Square,"June 19, 2019",
Blade Assault,"Action, roguelite, platformer",TeamSuneat,Neowiz,TBA,
Blade Runner: Enhanced Edition,Adventure,Nightdive Studios,Alcon Entertainment,TBA,
Blade Strangers,Fighting,Studio Saizensen,Nicalis,"August 28, 2018",
Bladed Fury,Action,Next Studios,PM Studios,"January 22, 2021",
Blades of Time,"Action-adventure, hack and slash",Gaijin Entertainment,Konami,"May 14, 2019",
Blair Witch,Survival horror,Bloober Team,JP: NA PublishingWW: Lionsgate Games,"June 25, 2020",
Blasphemous,Platformer,The Game Kitchen,JP: Team17WW: The Game Kitchen,"September 10, 2019",
Blast Brawl 2,"Action, arcade, platformer",Mind's Eye Games,Mind's Eye Games,"August 27, 2020",
Blast Brigade vs. the Evil Legion of Dr. Cread,"Action-adventure, platformer",Allods Team,My.Games,2021,
Blaster Master Zero,Platformer,Inti Creates,Inti Creates,"March 3, 2017",
Blaster Master Zero 2,Platformer,Inti Creates,Inti Creates,"March 20, 2019",
Blaster Master Zero 3,Platformer,Inti Creates,Inti Creates,"July 29, 2021",
Blaster Master Zero Trilogy: MetaFight Chronicle,Platformer,Inti Creates,Inti Creates,"July 29, 2021",
Blastful,"Action, Arcade",Playstige Interactive,Playstige Interactive,"February 25, 2021",
BlazBlue: Central Fiction,Fighting,Arc System Works,JP: Arc System WorksNA: Aksys GamesEU: PQube,"February 7, 2019",
BlazBlue: Cross Tag Battle,Fighting,Arc System Works,Arc System Works,"May 31, 2018",
Blaze and the Monster Machines: Axle City Racers,Racing,3D Clouds,Outright Games,"October 1, 2021",
Blazerush,Vehicular combat,Targem Games,Targem Games,"February 19, 2019",
Blazing Beaks,Twin-stick shooter,QubicGames,QubicGames,"May 10, 2019",
Blazing Chrome,"Arcade, Platformer, Action",JoyMasher,The Arcade Crew,"July 11, 2019",
Blazing Strike,Fighting,RareBreed Makes Games,Aksys Games,2022,
Bleak Sword DX,Action,more8bit,Devolver Digital,"June 8, 2023",
Bleed,Action,Bootdisk Revolution,Digerati,"December 14, 2017",
Bleed 2,Action,Bootdisk Revolution,Digerati,"March 8, 2018",
Bleep Bloop,Puzzle,Ludipe & Friends,Zerouno Games,"January 31, 2019",
Blind Men,Visual novel,Man Eater Games,Ratalaika Games,"April 17, 2020",
Blind Postman,Puzzle,DillyFrame,DillyFrame,"September 24, 2021",
Blindy,"Platformer, Arcade",Radoslaw Felich,Ultimate Games,"November 8, 2019",
Blink: Rogues,"Arcade, Action",Fox Dive Studio,Ultimate Games,"May 7, 2021",
Blitz Breaker,"Action, Puzzle","Boncho Games, Ratalaika Games",eastasiasoft,"July 7, 2021",
Blizzard Arcade Collection,"Racing, Puzzle, Action, Arcade",Blizzard Entertainment,Blizzard Entertainment,"February 19, 2021",
BlobCat,Puzzle,BySamb,BySamb,"August 9, 2018",
Block Puzzle,Puzzle,Pix Arts,Pix Arts,"September 3, 2021",
Block-a-Pix Deluxe,"Puzzle, Strategy",Lightwood Games,Lightwood Games,"March 21, 2019",
Blocky Puzzle,"Board game, Puzzle, Arcade",Benjamin Kistler,Kistler Benjamin,"June 15, 2021",
Bloo Kid 2,Platformer,winterworks,Headup Games,"November 18, 2019",
Blood Bowl 3,"Sports, turn-based strategy",Cyanide Studio,Nacon,February 2022,
Blood Breed,Survival horror,Cool Small Games,Cool Small Games,"February 21, 2020",
Blood Waves,Action,Sometimes You,Sometimes You,"March 15, 2019",
Blood Will Be Spilled,Adventure,Attu Games,Attu Games,"February 20, 2020",
BloodRayne Betrayal: Fresh Bites,"Hack and slash, platformer",WayForward,Ziggurat Interactive,"September 9, 2021",
Bloodroots,Action,Paper Cult,Paper Cult,"February 28, 2020",
Bloodshore,Interactive film,Wales Interactive,Wales Interactive,"November 3, 2021",
Bloodstained: Curse of the Moon,Action,Inti Creates,Inti Creates,"May 24, 2018",
Bloodstained: Curse of the Moon 2,Action,Inti Creates,Inti Creates,"July 10, 2020",
Bloodstained: Ritual of the Night,Metroidvania,"ArtPlay, Dico",505 Games,"June 25, 2019",
Bloody Bunny,"Action, Fighting",Digital Innovative Design and Technology Center,DigiPen Game Studios,"March 11, 2021",
Bloody Rally Show,"Racing, Action, Arcade, Sports",Kodo Linija,Digerati,"November 4, 2021",
Bloody Zombies,Action,Paw Print Games,nDreams,"December 23, 2017",
Bloons TD 5,Strategy,Ninja Kiwi,Ninja Kiwi,"June 13, 2018",
Blossom Tales: The Sleeping King,Action-adventure,Castle Pixel,FDG Entertainment,"December 21, 2017",
Blossom Tales 2: The Minotaur Prince,Action-adventure,Castle Pixel,Playtonic Friends,2022,
Blow Up Monsters,"Action, arcade, platformer",Piotr Skalski,Piotr Skalski,"February 4, 2021",
Blue Fire,"Action-adventure, platformer",Robi Studios,Graffiti Games,"February 4, 2021",
The Bluecoats: North and South,Strategy,Appeal Studios,Microids,"October 27, 2020",
Blue Reflection: Second Light,Role-playing,Gust Co. Ltd.,Koei Tecmo,"October 21, 2021",
Blue Rider,"Arcade, Action","Ravegan, Ratalaika Games",EastAsiaSoft,"December 13, 2018",
Bob Help Them,"Adventure, Edutainment, Strategy",No Gravity Games,No Gravity Games,"March 11, 2021",
Bocce,Sports,Benoit Varasse,Pix Arts,"June 26, 2021",
Body of Evidence,"Adventure, Simulation, Action, Arcade",Empyrean,No Gravity Games,"December 17, 2020",
BodyQuest,"Adventure, Edutainment, Platformer, Puzzle",Artax Games,Artax Games,"March 25, 2021",
Bohemian Killing,Adventure,Ultimate Games,Ultimate Games,"March 23, 2020",
Bokosuka Wars II,Role-playing,Pygmy Studio,Pygmy Studio,"March 19, 2020",
Boku to Joi no Shinsatsu Nisshi,Visual novel,Entergram,Entergram,"January 30, 2020",
Boku to Nurse no Kenshuu Nisshi,Visual novel,Entergram,Entergram,"August 29, 2019",
Bokuhime Project,Adventure,Wizard Soft,Nippon Ichi Software,"April 23, 2020",
Bokura no School Battle,Party,Sat Box,Sat Box,"March 12, 2020",
Bomb,Arcade,Sabec,Sabec,"May 7, 2020",
Bomb Chicken,Puzzle-platformer,Nitrome,Nitrome,"July 12, 2018",
Bomber Crew,Action,Runner Duck Games,JP: TeyonWW: Curve Digital,"July 10, 2018",
Bomber Fox,"Puzzle, Arcade",Laughing Fox Games,Forever Entertainment,"September 17, 2020",
BombFall,Platformer,Tackorama,Tackorama,"March 12, 2019",
Bombfest,"Party, Action",Sudden Event Studios,Whitethorn Digital,"January 31, 2019",
Bombing Busters,Puzzle,Sanuk Games,Sanuk Games,"October 8, 2018",
Bomb Rush Cyberfunk,"Action, Platformer",Team Reptile,Team Reptile,2022,
Bombslinger,Action,Mode4,Plug In Digital,"April 11, 2018",
Bonds of the Skies,Role-playing,Kemco,Kemco,"March 14, 2019",
Bone Marrow,"Puzzle, Arcade",Huge Pixel,Ratalaika Games,"August 6, 2021",
Bonfire Peaks,"Puzzle, Adventure",Draknek & Friends,Draknek,"September 30, 2021",
Bonito Days,"Party, Platformer, Arcade",Studio Somewhere,Studio Somewhere,"October 14, 2021",
Bonkies,"Puzzle, Arcade, Party",Studio Gauntlet,Crunching Koalas,"January 29, 2021",
Book of Demons,Hack and slash,"Thing Trunk, Sonka}",505 Games,"April 30, 2020",
The Book of Unwritten Tales 2,Adventure,"King Art Games, The Adventure Company}",THQ Nordic,"February 5, 2019",
Bookbound Brigade,Metroidvania,Digital Tales,Intragames,"January 30, 2020",
Boom Ball: Boost Edition,"Puzzle, Action, Arcade, Party",Virtual Air Guitar Company,VirtualAirGuitar,"October 11, 2018",
Boom Blaster,"Platformer, Action",BigBread,ChiliDog Interactive,"February 19, 2021",
Boomerang Fu,"Action, arcade, fighting, party",Cranky Watermelon,JP: Flyhigh WorksWW: Cranky Watermelon,"August 13, 2020",
Boomerang X,Action,Dang!,Devolver Digital,"July 8, 2021",
Boost Beast,Puzzle,Arzest,Arc System Works,"July 20, 2017",
Boot Hill Bounties,Role-playing,Experimental Gamer Studios,Experimental Gamer Studios,"April 14, 2020",
Boot Hill Heroes,"Adventure, Role-playing",Experimental Gamer Studios,Experimental Gamer Studios,"December 15, 2020",
Borderlands: Game of the Year Edition,"Action role-playing, first-person shooter",Gearbox Software,2K Games,"May 29, 2020",
Borderlands: The Handsome Collection,"Action role-playing, first-person shooter",Gearbox Software,2K Games,"May 29, 2020",
Boreal Blade,"Action, Fighting",Frozenbyte,Frozenbyte,"August 28, 2019",
Boris The Rocket,"Puzzle, Simulation, Action, Strategy",toR Studio,Big Way,"April 30, 2021",
Boss Rush: Mythology,"Platformer, Action, Arcade, Fighting",Alexey Suslin,Ultimate Games,"October 31, 2020",
Bossgard,"Action, Party, Fighting",Sand Sailor Studio,Sand Sailor Studio,"July 15, 2020",
Bot Vice,"Adventure, Action, Arcade",DYA Games,DYA Games,"April 11, 2019",
BOT.vinnik Chess,"Board game, Puzzle, Strategy, Edutainment",DeepGreen Games,Silesia Games,"September 2, 2021",
Boulder Dash 30th Anniversary,"Puzzle, Arcade, Action, Adventure",BBG Entertainment,BBG Entertainment,"February 27, 2020",
Boulder Dash Deluxe,"Puzzle, Arcade, Action, Adventure",BBG Entertainment,BBG Entertainment,"September 9, 2021",
Bounce Mania,Arcade,Benoit Varasse,Pix Arts,"May 14, 2021",
Bouncing Hero,"Adventure, Platformer, Action",ZPink,Turtle Cream,"January 21, 2021",
Bouncy Bob,"Party, Arcade, Action, Platformer",All Those Moments,Ultimate Games,"April 27, 2018",
Bouncy Bob 2,"Action, Arcade",MadGamesmith,Ultimate Games,"November 20, 2019",
Bouncy Bullets,First-person shooter,Petite Games,Ratalaika Games,"July 11, 2019",
Bouncy Bullets 2,"Platformer, Action",Petite Games,Ratalaika Games,"October 8, 2021",
Bounty Battle,Fighting,Dark Screen Games,Merge Games,"September 10, 2020",
Bow to Blood: Last Captain Standing,Adventure,Tribetoy,Tribetoy,"April 3, 2019",
Bowling,"Sports, Arcade",Sabec,Sabec,"November 28, 2019",
Box Align,Puzzle,QUByte Interactive,QUByte Interactive,"April 11, 2019",
BoxBoy! + BoxGirl!,"Puzzle, platformer",HAL Laboratory,Nintendo,"April 26, 2019",
Boxing Champs,"Sports, Arcade, Action",Raz Games,Raz Games,"June 20, 2019",
A Boy and His Blob,"Puzzle, platformer",WayForward,Ziggurat Interactive,"November 4, 2021",
Boyfriend Dungeon,Dating sim,Kitfox Games,Kitfox Games,"August 11, 2021",
BQM: BlockQuest Maker,Role-playing,Wonderland Kazakiri,Wonderland Kazakiri,"December 27, 2018",
The Bradwell Conspiracy,Adventure,A Brave Plan,Bossa Studios,"October 10, 2019",
Braid Anniversary Edition,"Puzzle, platformer",Thekla,Thekla,2021,
Brain Breaker,"Action, arcade, puzzle",Erik Games,Erik Games,"January 25, 2021",
Brain Meltdown: Into Despair,"Action, platformer",Onfire Games,CFK,"October 28, 2021",
BrainZ,Action,"Enigma Entertainment, Delta Bright Bilişim",Polygon Art,"November 12, 2020",
Brave Dungeon + Dark Witch's Story: Combat,Role-playing,Inside System,Inside System,"September 27, 2017",
Braveland Trilogy,Tactical role-playing,Tortuga Team,Ellada Games,"March 7, 2019",
Bravely Default 2,Japanese role-playing,Claytechworks,JP: Square EnixWW: Nintendo,"February 26, 2021",
BraveMatch,"Puzzle, Board game, Arcade, Role-playing",Playstige Interactive,Playstige Interactive,"April 22, 2021",
Brawl,"Action, fighting",Bloober Team,QubicGames,"January 12, 2018",
Brawl Chess,Strategy,Red Deer Games,Red Deer Games,"November 26, 2020",
Brawlhalla,Fighting,Blue Mammoth Games,Ubisoft,"November 6, 2018",
Brawlout,Fighting,Angry Mob Games,Angry Mob Games,"December 19, 2017",
Break Dot,"Action, arcade, board game, puzzle",Caerux,Caerux,"September 3, 2020",
Breakers Collection,Fighting,Visco Corporation,QuByte Interactive,Q1 2022,
Breakfast Bar Tycoon,"Adventure, Simulation, Puzzle, Strategy",Baltoro Games,Baltoro Games,"March 20, 2020",
#Breakforcist Battle,Party,Lucid Sheep Games,Lucid Sheep Games,"April 12, 2018",
Breakout: Recharged,"Arcade, action","Adamvision Studios, SneakyBox",Atari,"February 10, 2022",
Breakpoint,"Action, arcade, fighting, strategy",Studio Aesthesia,The Quantum Astrophysicists Guild,"September 24, 2020",
Breathedge,"Adventure, Simulation, Action, Role-playing",HypeTrain Digital,HypeTrain Digital,"April 6, 2021",
Breathing Fear,Adventure,Drageus Games,Drageus Games,"December 6, 2019",
Breeder Homegrown: Director's Cut,Adventure,Sometimes You,Sometimes You,"March 6, 2020",
The Bridge,Puzzle,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,"September 7, 2017",
Brick Bat Crazy,"Action, Arcade, Party",IndieRevo,IndieRevo,"April 2, 2021",
