Quest Braintainment,ThePharmacy,ThePharmacy,"September 10, 2010 (EU)",,,,
Ridge Racer DS,NamcoNintendo Software Technology,Namco,"December 7, 2004 (NA)",,,,
Riding AcademyReal Stories Cheval AcademyFRPferd & Pony: Die ReitakademieDE,Mindscape,Mindscape,"October 19, 2009 (PAL)",,,,
Riding Academy 2Die Reitakademie: Das Entscheidende TurnierDE,Mindscape,Mindscape,"September 3, 2010 (PAL)",,,,
Riku to Johan: Kaeta Nimai no E,fonfun,fonfun,"July 3, 2008 (JP)",,,,
Ringling Bros. and Barnum & Bailey: Circus Friends - Asian ElephantsRingling Bros. and Barnum & Bailey: It's My Circus - Elephant FriendEU,Cat Daddy Games,2K Games,"November 10, 2009 (NA)",,,,
Rio,1st Playable Productions,THQ,"April 7, 2011 (NA)",,,,
Rise of the Guardians,Torus Games,D3 Publisher,"November 20, 2012 (NA)",,,,
River City Soccer HooligansKunio-Kun no Chou Nekketsu! Soccer League Plus World Hyper Cup HenJP,Avit-Niigata,Arc System Works,"May 27, 2010 (JP)",,,,
River City Super Sports ChallengeKunio-Kun no Chou Nekketsu! DaiundoukaiJP,Million,Aksys Games,"October 12, 2010 (JP)",,,,
River King: Mystic Valley,Marvelous Entertainment,"Marvelous Entertainment, Natsume, Rising Star Games","June 28, 2007 (JP)",,,,
Road to Vegas,Nintendo,Midas Interactive Entertainment,"August 22, 2008 (PAL)",,,,
Roary the Racing Car,Uacari,Avanquest,"August 7, 2009 (EU)",,,,
Robocalypse,Vogster Entertainment,Vogster Entertainment,"October 28, 2008 (NA)",,,,
Robots,Amaze Entertainment,Vivendi Games,"February 24, 2005 (NA)",,,,
Rock Band 3,Backbone Entertainment,MTV Games,"October 26, 2011 (NA)",,,,
Rock Blast,UFO Interactive Games,UFO Interactive Games,"August 5, 2008 (NA)",,,,
Rock Revolution,HB Studios,Konami,"October 14, 2008 (NA)",,,,
Rock University Presents: The Naked Brothers Band The Video Game•The Naked Brothers Band: The VideogamecAUS,THQ,THQ,"October 20, 2008 (NA)",,,,
Rockin' Pretty•Happy Star BandJP•Diva Girls: Making the MusicEU,Arc System Works,"Arc System Works, 505 Games, Aksys Games","May 21, 2009 (JP)",,,,
Rockman EXE Operate Shooting Star,Capcom,Capcom,"November 12, 2009 (JP)",,,,
Roller Angels: Pasha to Daisakusen,Starfish SD,Starfish SD,"June 17, 2010 (JP)",,,,
Rollin' Rascals,Hoget,"Majesco Entertainment, Rising Star Games","May 12, 2009 (NA)",,,,
Ron-Q! Highland in DS,3 O'Clock,3 O'Clock,"August 7, 2008 (JP)",,,,
Rondo of Swords,Success Corporation,"Atlus, Success Corporation","August 9, 2007 (JP)",,,,
Roogoo Attack,SpiderMonk Entertainment,SouthPeak Games,"June 30, 2009 (NA)",,,,
Rooms: The Main Building,HandMade Game,Hudson Soft,"March 23, 2010 (NA)",,,,
Rosario + Vampire: Tanabata no Miss Yōkai Gakuen,Capcom,Capcom,"March 20, 2008 (JP)",,,,
