Atlantis: The Lost Tales (EU)Atlantis: Secrets d'un monde oublié (FR),Cryo Interactive,Sega,Unreleased,June 1998,Unreleased
Ayakashi Ninden Kunoichiban Plus,Zero SystemSugeeya,Shoeisha,Unreleased,Unreleased,"April 9, 1998"
BackGuiner: Yomigaeru Yuusha-tachi: Hishou-hen Uragiri no Senjou,Ving,Ving,Unreleased,Unreleased,"October 1, 1998"
BackGuiner: Yomigaeru Yuusha-tachi: Hishou-hen Uragiri no Senjou,Ving,Ving,Unreleased,Unreleased,"July 30, 1998"
Baku Baku Animal,Sega,Sega,"August 31, 1996",May 1996,"November 10, 1995"
Bakuretsu Hunter,I'MAX,I'MAX,Unreleased,Unreleased,"April 26, 1996"
Bakuretsu Hunter R,Star Child,King Records,Unreleased,Unreleased,"August 8, 1997"
Bakushou All Yoshimoto Quiz Ou Ketteisen DX,Yoshimoto Kogyo,Yoshimoto Kogyo,Unreleased,Unreleased,"December 1, 1995"
Baldy Land,Banpresto,Creative Edge,Unreleased,Unreleased,"November 26, 1998"
Baroque,Sting Entertainment,Sting Entertainment,Unreleased,Unreleased,"May 21, 1998"
Bases Loaded '96: Double Header,Jaleco,Jaleco,December 1995,Unreleased,"November 22, 1995"
Batman Forever: The Arcade Game,Iguana Entertainment,Acclaim,"November 21, 1996","November 16, 1996","February 14, 1997"
Batsugun,Toaplan,Toaplan,Unreleased,Unreleased,"October 25, 1996"
Battle Arena Toshinden Remix,Takara,Takara,"March 27, 1996","March 29, 1996","November 24, 1995"
Battle Arena Toshinden Ultimate Revenge Attack,Takara,Takara,"November 14, 1996","February 6, 1997","September 27, 1996"
Battle Athletess Daiundoukai,Increment-P,Increment-P,Unreleased,Unreleased,"December 13, 1996"
Battle Garegga,Eighting/Raizing,Eighting/Raizing,Unreleased,Unreleased,"February 26, 1998"
Battle Monsters,Scarab,Acclaim (US/EU)Naxat Soft (JP),"September 30, 1996","September 30, 1996","June 2, 1995"
Battle Stations,Electronic Arts,Electronic Arts,"May 21, 1997","May 21, 1997",Unreleased
BattleSport,Unexpected Developments,Acclaim,"January 1, 1997",Unreleased,Unreleased
Beach de Reach!,Mainichi Communications Inc,Natsu System,Unreleased,Unreleased,"August 20, 1998"
Big Thanks Super Keirin ~Dream With Keirin 50 Years~,Aspect/VAP,VAP,Unreleased,Unreleased,1998
Big Ichigeki! Pachi-Slot Daikouryaku: Universal Museum,Nihon Syscom,ASK Kodansha,Unreleased,Unreleased,"June 14, 1996"
Bishoujo Hanafuda Kikou Michinoku Hitou Koi Monogatari Special,Mainichi Communications Inc,Natsu System,Unreleased,Unreleased,"December 11, 1997"
Bishoujo Senshi Sailor Moon SuperS: Various Emotion,Angel,Angel,Unreleased,Unreleased,"November 29, 1996"
Bishoujo Variety Game: Rapyulus Panic,Shoeisha,Shoeisha,Unreleased,Unreleased,"April 26, 1996"
Black Dawn,Point of View,Virgin Interactive,"January 6, 1996",1996,"April 25, 1997"
Black Fire,Sega,Sega,"November 10, 1995","June 28, 1996","December 22, 1995"
Black/Matrix,Flight Plan,Interchannel,Unreleased,Unreleased,"August 27, 1998"
Blam! Machinehead (Machine HeadUS),Core Design,Eidos InteractiveNAVirgin InteractiveJP,"November 25, 1996",September 1996,"May 25, 1997"
Blast Chamber,Attention to Detail,Activision,"December 31, 1996",1997,Unreleased
Blast Wind,Technosoft,Technosoft,Unreleased,Unreleased,"January 17, 1997"
Blazing Dragons,Crystal Dynamics,Crystal Dynamics,"October 31, 1996",November 1996,Unreleased
Blue Breaker: Ken yorimo Hohoemi wo,"HuneX, NEC Home Electronics",Human Entertainment,Unreleased,Unreleased,"November 27, 1997"
Blue Chicago Blues,Riverhillsoft,Riverhillsoft,Unreleased,Unreleased,"September 22, 1995"
Blue Seed: Kushinada Hirokuden,Sega CS,Sega,Unreleased,Unreleased,"June 23, 1995"
Body Special 264: Girls in Motion Puzzle Vol. 2,Japanese Media Programming,Yanoman,Unreleased,Unreleased,"August 2, 1996"
Bomberman Wars,Metro,Hudson Soft,Unreleased,Unreleased,"April 16, 1998"
Bottom of the 9th,Konami,Konami,"October 18, 1996",Unreleased,Unreleased
Bouken Katsugeki Monomono,Shoeisha Co. Ltd.,Shoeisha Co. Ltd.,Unreleased,Unreleased,"July 24, 1997"
Brain Battle Q,Clef,Clef,Unreleased,Unreleased,"March 15, 1996"
Brain Dead 13,ReadySoft,ReadySoft,"September 30, 1996",Unreleased,"October 10, 1996"
Break Point Tennis,Smart Dog Games,"AcclaimUS, OceanEU, Victor Interactive SoftwareJP","November 21, 1996",December 1996,"June 27, 1997"
BreakThru!,Shoeisha,BMG Victor,Unreleased,Unreleased,"September 22, 1995"
Bubble Bobble featuring Rainbow Islands,Probe Entertainment,Acclaim,"September 3, 1996",November 1996,Unreleased
Bubble Symphony,Ving,Ving,Unreleased,Unreleased,"November 27, 1997"
Bug!,Realtime Associates,Sega,August 1995,October 1995,"December 8, 1995"
Bug Too!,Realtime Associates,Sega,"December 6, 1996","April 24, 1997","January 31, 1997"
Bulk Slash,CAProduction,Hudson Soft,Unreleased,Unreleased,"July 11, 1997"
Burning Rangers,Sonic Team,Sega,"May 31, 1998","June 16, 1998","February 26, 1998"
