AFL Mascot Manor,Wicked Witch Software,Tru Blu Games,"July 2, 2009 (AUS)",,,,
Again,Cing,Tecmo,"December 10, 2009 (JP)",,,,
Agatha Christie: The ABC Murders,DreamCatcher Games,DreamCatcher Games,"November 12, 2009 (NA)",,,,
Age of Empires: Mythologies,Griptonite Games,THQ,"November 24, 2008 (NA)",,,,
Age of Empires: The Age of Kings,Backbone Entertainment,Majesco Entertainment,"February 14, 2006 (NA)",,,,
Aibou DS,Tecmo,Tecmo,"March 5, 2009 (JP)",,,,
Air Traffic Chaos,Majesco Entertainment,Majesco Entertainment,"July 30, 2008 (NA)",,,,
Akagawa Jirou Mystery: Tsuki no Hikari,Marvelous Entertainment,Marvelous Entertainment,"November 6, 2008 (JP)",,,,
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,Marvelous Entertainment,Marvelous Entertainment,"February 8, 2008 (JP)",,,,
Akai Ito Destiny DS,Alchemist,Alchemist,"March 26, 2009 (JP)",,,,
Akai Ito DS,Alchemist,Alchemist,"December 25, 2008 (JP)",,,,
Akko de Pon! Ikasama Hourouki,Success,Success,"April 24, 2008 (JP)",,,,
Akko ni Omakase! Brain Shock,Taito,Taito,"December 7, 2006 (JP)",,,,
Akogare Girls Collection: Lovely Youchien Nikki,Open Sesame,Creative Core,"November 19, 2009 (JP)",,,,
Akogare Girls Collection: Mister Donut DS,Open Sesame,Columbia Music Entertainment,"December 9, 2010 (JP)",,,,
Akogare Girls Collection: Ohanaya-San Monogatari,Columbia Music Entertainment,Columbia Music Entertainment,"June 30, 2011 (JP)",,,,
Akogare Girls Collection: Pika Pika Nurse Monogatari,Nippon Columbia,Nippon Columbia,"August 4, 2011 (JP)",,,,
Akogare Girls Collection: Suteki ni Nurse Days,Open Sesame,Creative Core,"August 6, 2009 (JP)",,,,
ALC no 10-Punkan Eigo Master: Chuukyuu,Interchannel,Interchannel,"March 8, 2007 (JP)",,,,
ALC no 10-Punkan Eigo Master: Joukyuu,Interchannel,Interchannel,"March 8, 2007 (JP)",,,,
ALC no 10-Punkan Eigo Master: Shokyuu,Interchannel,Interchannel,"March 8, 2007 (JP)",,,,
Alex Rider: Stormbreaker,Altron,THQ,"July 7, 2006 (PAL)",,,,
Alexandra Ledermann: Summer Camp Adventures,Ubisoft,Ubisoft,"October 1, 2009 (EU)",,,,
Alice in Wonderland,Étranges Libellules,Disney Interactive Studios,"March 2, 2010 (NA)",,,,
Aliens in the Attic,Engine Software,Playlogic,"July 28, 2009 (NA)",,,,
Aliens: Infestation,"WayForward, Gearbox Software",Sega,"September 29, 2011 (AUS)",,,,
All Kamen Rider: Rider Generation,7thChord,Bandai Namco Games,"August 4, 2011 (JP)",,,,
All Kamen Rider: Rider Generation 2,Bandai Namco Games,Bandai Namco Games,"August 2, 2012 (JP)",,,,
All Star Cheer Squad,Gorilla Systems,THQ,"November 13, 2008 (PAL)",,,,
Allez Raconte,OUAT Entertainment,Bigben Interactive,"May 31, 2011 (EU)",,,,
Allied Ace Pilots,Ghostlight,GhostlightMidas Interactive Entertainment,"September 19, 2008 (EU)",,,,
Alpha and Omega,Storm City Games,Lionsgate,"September 14, 2010 (NA)",,,,
Alssongdalssong - Myeonghwatamheom DS,Justone Interactive,Justone Interactive,"May 14, 2009 (KR)",,,,
Alvin and the Chipmunks,Brash Entertainment,Brash EntertainmentEidos Interactive,"December 4, 2007 (NA)",,,,
Alvin and the Chipmunks: Chipwrecked,Behavior Interactive,Majesco Entertainment,"November 15, 2011 (NA)",,,,
Alvin and the Chipmunks: The Squeakquel,ImaginEngine,Majesco Entertainment,"December 1, 2009 (NA)",,,,
The Aly & AJ Adventure,Frame Studios Interactive,Destination Software,"October 15, 2007 (NA)",,,,
Amazing Adventures: The Forgotten Ruins,Black Lantern Studios,PopCap Games,"November 11, 2008 (NA)",,,,
The Amazing Spider-Man,Other Ocean Interactive,Activision,"June 26, 2012 (NA)",,,,
America's Next Top Model,Arts Software,Eidos Interactive,"June 7, 2010 (NA)",,,,
America's Next Top Model (2008),dtp Young Entertainment AG,dtp Young Entertainment AG,"November 7, 2008 (EU)",,,,
American Girl: Julie Finds a Way,THQ,THQ,"December 3, 2007 (NA)",,,,
American Girl: Kit Mystery Challenge,THQ,THQ,"June 23, 2008 (NA)",,,,
AMF Bowling Pinbusters!,4J Studios,ZeniMax Media,"July 7, 2008 (NA)",,,,
Amici,Pub Company s.r.l.,Black Bean Games,"May 15, 2009 (EU)",,,,
Anan Kanshuu: Onna Dikara Kinkyuu Up! DS,Suzak,Bandai Namco Games,"July 26, 2007 (EU)",,,,
Angel Cat Sugar,Rising Star Games,Rising Star Games,"October 16, 2009 (EU)",,,,
Angelique Duet,Koei,Koei,"April 6, 2006 (JP)",,,,
Animal Boxing,Gammick Entertainment,"Destineer, Gammick Entertainment","October 28, 2008 (NA)",,,,
Animal Crossing: Wild World,Nintendo,Nintendo,"November 23, 2005 (JP)",,,,
Animal Genius,Big Blue Bubble,"Scholastic, Ubisoft","September 25, 2007 (NA)",,,,
Animal Life: Africa,UIG Entertainment,UIG Entertainment,"November 17, 2011 (PAL)",,,,
Animal Life: Australia,UIG Entertainment,UIG Entertainment,"November 17, 2011 (PAL)",,,,
Animal Life: Dinosaurs,UIG Entertainment,UIG Entertainment,"August 17, 2009 (PAL)",,,,
Animal Life: Eurasia,UIG Entertainment,UIG Entertainment,"October 14, 2009 (PAL)",,,,
Animal Life: North America,UIG Entertainment,UIG Entertainment,"October 14, 2009 (PAL)",,,,
Animal Paradise,Agatsuma Entertainment,Empire Interactive,"April 26, 2007 (JP)",,,,
Animal Paradise Wild,Empire Interactive,Zoo Games,"October 6, 2009 (NA)",,,,
Animal Planet: Emergency Vets,Silverbirch Studios,Activision,"March 13, 2009 (NA)",,,,
Animal Planet: Vet Life,Silverbirch Studios,Activision,"September 15, 2009 (NA)",,,,
"Animaniacs: Lights, Camera, Action",Ignition Entertainment,Warthog,"August 4, 2005 (EU)",,,,
AniMatesMy Little FluftiesEU,DK-Games,"DreamCatcher Games, Lexicon Entertainment","July 14, 2007 (NA)",,,,
Ankh: Curse of the Scarab King,VIS Entertainment,Xider Games,"September 17, 2008 (EU)",,,,
Anno 1701: Dawn of Discovery,Keen Games,"Disney Interactive Studios, Ubisoft","July 13, 2007 (EU)",,,,
Another Time Another Leaf: Kagami no Naka no Tantei,Killaware,Arc System Works,"April 23, 2009 (JP)",,,,
Anpanman to Asobo: ABC Kyoushitsu,Digital Kids,Agatsuma Entertainment,"May 1, 2008 (JP)",,,,
Anpanman to Asobo: Aiueo Kyoushitsu,Digital Kids,Agatsuma Entertainment,"December 7, 2006 (JP)",,,,
Anpanman to Asobu: Aiueo Kyoushitsu DX,Digital Kids,Agatsuma Entertainment,"December 17, 2009 (JP)",,,,
