The Amazing Spider-Man,Beenox,Activision,2012-06-26NA,Unreleased,"June 26, 2012","June 27, 2012","June 29, 2012"
America's Next Top Model,Neopica,NA: Conspiracy EntertainmentEU: DTP Entertainment,2010-06-01NA,Unreleased,"June 1, 2010",Unreleased,"October 8, 2010"
American Mensa Academy,Silverball Studios,Maximum Family Games,2012-07-27EU,Unreleased,"November 16, 2012",Unreleased,"July 27, 2012"
AMF Bowling Pinbusters!,Atomic Planet Entertainment,NA: Mad Duck ProductionsEU: Bethesda Softworks,2007-11-20NA,Unreleased,"November 20, 2007",Unreleased,"March 14, 2008"
AMF Bowling World Lanes,Vir2L Studios,Bethesda Softworks,2008-11-25NA,Unreleased,"November 25, 2008",Unreleased,Unreleased
And-Kensaku,Shift,Nintendo,2010-04-29JP,"April 29, 2010",Unreleased,Unreleased,Unreleased
Andrew Lloyd Webber Musicals: Sing and Dance,Tubby Games,Koch Media,2012-11-09EU,Unreleased,Unreleased,"January 31, 2013","November 9, 2012"
Angry Birds Star Wars,Exient Entertainment,Activision,2013-10-29NA,Unreleased,"October 29, 2013",Unreleased,"November 1, 2013"
Angry Birds Trilogy,Fun Labs,Activision,2013-08-13NA,Unreleased,"August 13, 2013",Unreleased,"August 16, 2013"
Animal Crossing: City Folk,Nintendo EAD,Nintendo,2008-11-16NA,"November 20, 2008","November 16, 2008","December 4, 2008","December 5, 2008"
Animal Kingdom: Wildlife Expedition,Success,Natsume,2008-05-22NA,"May 22, 2008","September 22, 2009",Unreleased,"February 26, 2010"
Animal Planet: Vet Life,Activision,Activision,2009-09-22NA,Unreleased,"September 22, 2009",Unreleased,"November 18, 2009"
Anime Slot Revolution: Pachi-Slot Kidou Senshi Gundam II – Ai Senshi Hen,Yamasa Entertainment,Namco Bandai,2007-12-27JP,"December 27, 2007",Unreleased,Unreleased,Unreleased
Another Code: R – A Journey into Lost Memories,Cing,Nintendo,2009-02-05JP,"February 5, 2009",Unreleased,Unreleased,"June 26, 2009"
Anpanman Niko Niko Party,Agatsuma Entertainment,Agatsuma Entertainment,2010-11-25JP,"November 25, 2010",Unreleased,Unreleased,Unreleased
The Ant Bully,Artificial Mind and Movement,Midway Games,2006-12-05NA,Unreleased,"December 5, 2006","March 7, 2007","May 2, 2007"
Anubis II,Data Design Interactive,NA: Conspiracy EntertainmentPAL: Metro 3D,2007-09-18NA,Unreleased,"September 18, 2007","September 27, 2007","September 21, 2007"
Aqua Panic!,Eko System,XS GamesJack of All Games,2009-05-29EU,Unreleased,"September 25, 2009",Unreleased,"May 29, 2009"
Aquarius Baseball,Coca-Cola Japan,Coca-Cola Japan,2007-09-01JP,"September 1, 2007",Unreleased,Unreleased,Unreleased
Arc Rise Fantasia,ImageepochMarvelous Entertainment,JP: Marvelous EntertainmentWW: Ignition Entertainment,2009-06-04JP,"June 4, 2009","July 27, 2010",Unreleased,Unreleased
Arcade Shooter: Ilvelo,MileStone Inc.,MileStone Inc.UFO Interactive Games,2008-11-13JP,"November 13, 2008",Unreleased,Unreleased,Unreleased
Arcade Shooting Gallery,CyberPlanet Interactive,Zoo Games,2009-11-09NA,Unreleased,"November 9, 2009",Unreleased,Unreleased
Arcade Zone,Nordcurrent,Activision,2009-09-08NA,Unreleased,"September 8, 2009",Unreleased,"October 30, 2009"
Arctic Tale,Atomic Planet,NA: DSI GamesPAL: Zoo Digital Publishing,2007-10-10NA,Unreleased,"October 10, 2007","February 28, 2007","February 8, 2008"
Are You Smarter Than a 5th Grader?: Back to School,THQ,THQ,2010-11-02NA,Unreleased,"November 2, 2010",Unreleased,Unreleased
Are You Smarter Than a 5th Grader?: Game Time,ImaginEngine,THQ,2009-10-26NA,Unreleased,"October 26, 2009",Unreleased,Unreleased
Are You Smarter Than a 5th Grader?: Make the Grade,ImaginEngine,THQ,2008-10-20NA,Unreleased,"October 20, 2008",Unreleased,Unreleased
Armin van Buuren: In the Mix,Transgaming Technologies,Easy Interactive,2010-11-10EU,Unreleased,Unreleased,Unreleased,"November 10, 2010"
Army Men: Soldiers of Misfortune,Big Blue Bubble,DSI Games,2008-10-10NA,Unreleased,"October 10, 2008",Unreleased,"February 27, 2009"
Army Rescue,CyberPlanet Interactive,UFO Interactive Games,2009-10-20NA,Unreleased,"October 20, 2009",Unreleased,Unreleased
Around the World in 50 Games,Zoo Games,Zoo Games,2010-10-14NA,Unreleased,"October 14, 2010",Unreleased,Unreleased
Ashes Cricket 2009,Gusto Games,Codemasters,2009-08-07EU,Unreleased,Unreleased,"November 5, 2009","August 7, 2009"
Asterix at the Olympic Games,Étranges Libellules,Atari,2007-11-09EU,Unreleased,Unreleased,"February 29, 2008","November 9, 2007"
Arthur and the Revenge of Maltazard,Phoenix Studio,Ubisoft,2010-09-24EU,Unreleased,Unreleased,Unreleased,"September 24, 2010"
Astro Boy: The Video Game,High Voltage Software,D3 Publisher,2009-10-20NA,Unreleased,"October 20, 2009","November 5, 2009","February 5, 2010"
Atrévete a Soñar,Televisa,Nintendo,2010-01-01NA,Unreleased,"January 1, 2010",Unreleased,Unreleased
Attack of the Movies 3D,Panic Button,Majesco Entertainment,2010-05-18NA,Unreleased,"May 18, 2010",Unreleased,Unreleased
ATV Quad Kings,Beyond Reality,Zoo Games,2009-08-11NA,Unreleased,"August 11, 2009",Unreleased,Unreleased
Avatar: The Last Airbender,THQTose,THQ,2006-11-19NA,Unreleased,"November 19, 2006","February 8, 2007","February 9, 2007"
Avatar: The Last Airbender – Into the Inferno,THQ Studio Australia,Play THQ,2008-10-13NA,Unreleased,"October 13, 2008","October 30, 2008","October 31, 2008"
Avatar: The Last Airbender – The Burning Earth,THQ,THQ,2007-10-16NA,Unreleased,"October 16, 2007","November 1, 2007","October 26, 2007"
B-Units: Build it!,505 Games,505 Games,2011-07-01EU,Unreleased,Unreleased,Unreleased,"July 1, 2011"
Baby & Me,Sonic Powered,505 Games,2009-11-10EU,Unreleased,Unreleased,Unreleased,"November 10, 2009"
Babysitting Mama,Cooking Mama Limited,JP: Square EnixNA: Majesco EntertainmentPAL: 505 Games,2010-11-05NA,"December 2, 2010","November 5, 2010","November 11, 2010","November 12, 2010"
The Bachelor: The Video Game,Ludia,Warner Bros. Interactive Entertainment,2010-10-06NA,Unreleased,"October 6, 2010",Unreleased,Unreleased
Babysitting Party,Visual Impact,Ubisoft,2008-11-08EU,Unreleased,Unreleased,"November 28, 2008","November 8, 2008"
Back to the Future: The Game,Telltale Games,Telltale Games,2011-12-15NA,Unreleased,"December 15, 2011",Unreleased,"May 4, 2012"
Backyard Baseball '09,Humongous EntertainmentFarSight Studios,Atari,2008-06-10NA,Unreleased,"June 10, 2008",Unreleased,Unreleased
