SA7: Silent Ability Seven,Otome game,Petit Reve,Future Tech Lab,Unreleased,Unreleased,"May 26, 2016",No,[3]
Scared Rider Xechs Rev.,Otome game,Red Entertainment,Rejet,Unreleased,Unreleased,"Nov 19, 2015",No,[4]
Saenai Kanojo (Heroine) no Sodatekata: Blessing Flowers,Visual novel,"Guyzware, 5pb.",5pb.,Unreleased,Unreleased,"Apr 30, 2015",Yes,[5]
SaGa: Scarlet Grace,Role-playing,Square Enix,Square Enix,Unreleased,Unreleased,"Dec 15, 2016",No,[6]
Sakaagari Hurricane Portable,Visual novel,Giga,Entergram,Unreleased,Unreleased,"Oct 27, 2016",Yes,[7]
Sakatsuku: Pro Soccer Club o Tsukurou!,Simulation,Sega,Sega,Unreleased,Unreleased,"Oct 10, 2013",No,[8]
Saki: Zenkoku-hen,Mahjong,Kaga Create,Kaga Create,Unreleased,Unreleased,"Sep 17, 2015",Yes,[9]
Sakura Sakura,Visual novel,Hiqo Soft,Entergram,Unreleased,Unreleased,"Oct 25, 2018",Yes,
Sakurasou no Pet na Kanojo,Visual novel,Netchubiyori,Kadokawa Games,Unreleased,Unreleased,"Feb 14, 2013",Yes,[10]
Salt and Sanctuary,Action role-playing,"Ska Studios, Sickhead Games",Ska Studios,"Mar 28, 2017","Mar 28, 2017","Apr 13, 2017",Yes,[11]
Samurai & Dragons,Action role-playing,Sega,Sega,Unreleased,Unreleased,"Mar 29, 2012",No,[12]
Samurai Shodown V Special,Fighting,"Yuki Enterprise, Code Mystics",SNK,"Sep 12, 2017","Sep 12, 2017","Sep 12, 2017",No,[13]
Samurai Warriors 2 with Xtreme Legends & Empires HD Version,Hack and slash,Omega Force,Tecmo Koei,Unreleased,Unreleased,"Oct 24, 2013",Yes,[14]
Samurai Warriors 4,Hack and slash,Omega Force,Tecmo Koei,"Oct 21, 2014","Oct 24, 2014","Mar 20, 2014",Yes,[15]
Samurai Warriors 4-II,Hack and slash,Omega Force,Koei Tecmo,"Sep 29, 2015","Oct 2, 2015","Feb 11, 2015",Yes,[16]
Samurai Warriors 4: Empires,Hack and slash,Omega Force,Koei Tecmo,"Mar 15, 2016","Mar 11, 2016","Sep 17, 2015",Yes,[17]
Samurai Warriors: Chronicles 3,Hack and slash,Omega Force,Koei Tecmo,"Jun 30, 2015","Jun 24, 2015","Dec 4, 2014",Yes,[18]
Samurai Warriors: Sanada Maru,Hack and slash,Omega Force,Koei Tecmo,Unreleased,Unreleased,"Nov 23, 2016",Yes,[19]
Sangoku Hime 2: Tenka Hatō: Shishi no Keishōsha,Turn-based strategy,Gessen 18,SystemSoft Alpha,Unreleased,Unreleased,"Jun 27, 2013",Yes,[20]
Sangoku Hime 4: Tenge Ryōran: Tenmei no Koi Emaki,Turn-based strategy,Gessen 18,SystemSoft Alpha,Unreleased,Unreleased,"May 26, 2016",Yes,[21]
Sangoku Rensenki: Otome no Heihō!,Otome game,Daisy2,Prototype,Unreleased,Unreleased,"Apr 25, 2013",Yes,[22]
Sangoku Rensenki: Otome no Heihō! Omoide Gaeshi CS Edition,Otome game,Daisy2,Prototype,Unreleased,Unreleased,"Feb 4, 2016",Yes,[23]
Sanzen Sekai Yūgi: ReMulti Universe Myself,Otome game,girls dynamics,Dramatic Create,Unreleased,Unreleased,"Sep 27, 2018",Yes,[24]
Saturday Morning RPG,Role-playing,Mighty Rabbit Studios,Mighty Rabbit Studios,"Jan 26, 2016",Unreleased,Unreleased,Yes,[25]
Save the Ninja Clan,Platform,"Willz, Sometimes You",Sometimes You,"Oct 6, 2017","Oct 6, 2017",Unreleased,Yes,[26]
Sayonara Umihara Kawase Plus,Platform,Agatsuma Entertainment,Agatsuma Entertainment,"Apr 21, 2015","Apr 30, 2015","Apr 23, 2015",Yes,[27]
School Wars: Zenkan Pack Honpen & Sotsugyō Sensen,Otome game,QuinRose,QuinRose,Unreleased,Unreleased,"Jun 25, 2015",Yes,[28]
Scram Kitty DX,Shooter,Dakko Dakko,Dakko Dakko,"Mar 10, 2015","Feb 25, 2015",Unreleased,Yes,[29]
SD Gundam G Generation Genesis,Tactical role-playing,Tom Create,Bandai Namco Games,Unreleased,Unreleased,"Nov 22, 2016",Yes,[30]
Secret of Mana,Action role-playing,Square Enix,Square Enix,"Feb 15, 2018","Feb 15, 2018","Feb 15, 2018",No,[31]
Sekai Seifuku: Costume Fes,Card battle,Spike Chunsoft,Spike Chunsoft,Unreleased,Unreleased,"Jul 23, 2014",No,[32]
Semispheres,Puzzle,Vivid Helix,Vivid Helix,"Oct 10, 2017","Oct 11, 2017","Oct 12, 2017",Yes,[33]
Sengoku Hime 3: Tenka o Kirisaku Hika to Kage [ja],Turn-based strategy,Gessen 18,SystemSoft Alpha,Unreleased,Unreleased,"Jan 31, 2013",Yes,[34]
"Sengoku Hime 4: Sōhai Hyakkei, Hana Mamoru Chikai [ja]",Turn-based strategy,Gessen 18,SystemSoft Alpha,Unreleased,Unreleased,"Jun 19, 2014",Yes,[35]
Sengoku Hime 5: Senka Tatsu Haō No Keifu [ja],Turn-based strategy,Gessen 18,SystemSoft Alpha,Unreleased,Unreleased,"Dec 11, 2014",No,[36]
Sengoku Hime 7: Sen'un Tsuranuku Guren no Ishi [ja],Turn-based strategy,Gessen 18,SystemSoft Alpha,Unreleased,Unreleased,"Oct 11, 2018",No,[37]
Sengoku Otome: Legend Battle,Beat 'em up,Shirogumi New Media Development,Planet G,Unreleased,Unreleased,"Aug 25, 2016",Yes,[38]
Sengoku Shura Soul,Role-playing,Creek and River,Lions Films,Unreleased,Unreleased,"Oct 13, 2016",No,[39]
Sengo Muramasa DX: Guren no Kettō,Turn-based strategy,Gesen 18,SystemSoft Alpha,Unreleased,Unreleased,"Oct 26, 2017",Yes,[40]
Senjō no Waltz [ja],Otome game,Otomate,Idea Factory,Unreleased,Unreleased,"Nov 20, 2014",Yes,[41]
"Sen no Hatō, Tsukisome no Kōki [ja]",Visual novel,August,Aria,Unreleased,Unreleased,"Dec 21, 2017",Yes,[42]
Senran Kagura: Bon Appétit!,Rhythm,Meteorise,Marvelous AQL (JP/EU)Xseed Games (NA),"Nov 11, 2014","Nov 12, 2014","Mar 20, 2014",Yes,[43]
Senran Kagura Estival Versus,Beat 'em up,Tamsoft,Marvelous (JP/EU)Xseed Games (NA),"Mar 15, 2016","Mar 18, 2016","Mar 26, 2015",Yes,[44]
Senran Kagura Shinovi Versus,Beat 'em up,Tamsoft,Marvelous AQL (JP/EU)Xseed Games (NA),"Oct 14, 2014","Oct 15, 2014","Feb 28, 2013",Yes,[45]
Seraph of the End: The Origin of Fate,Tactical role-playing,Bandai Namco Entertainment,Bandai Namco Entertainment,Unreleased,Unreleased,"Dec 17, 2015",Yes,[46]
Seven Days: Anata to Sugosu Nanokakan,Visual novel,0Life,Prototype,Unreleased,Unreleased,"Jul 5, 2018",Yes,[47]
Severed,Action,DrinkBox Studios,DrinkBox Studios,"Apr 26, 2016","Apr 26, 2016","Oct 6, 2016",No,[48]
Shake Spears!,Action,Wake Up Studios,Alawar Entertainment,"Jan 13, 2015","Nov 12, 2014",Unreleased,No,[49]
Shakedown: Hawaii,Action-adventure,Vblank Entertainment,Vblank Entertainment,"May 7, 2019","May 7, 2019",Unreleased,Yes,[50]
Shantae: Half-Genie Hero,Platform,WayForward Technologies,WayForward TechnologiesXseed Games,"Dec 20, 2016","Dec 20, 2016","Dec 20, 2016",Yes,
Shin Gundam Musou,Hack and slash,Omega Force,Tecmo Koei,Unreleased,Unreleased,"Dec 19, 2013",Yes,[51]
Shin Hayarigami [ja],Visual novel,Nippon Ichi Software,Nippon Ichi Software,Unreleased,Unreleased,"Aug 7, 2014",Yes,[52]
Shin Hayarigami 2 [ja],Visual novel,Nippon Ichi Software,Nippon Ichi Software,Unreleased,Unreleased,"Jul 7, 2016",Yes,[53]
Shin Kamaitachi no Yoru: Jyuichi-nin-me no Suspect,"Visual novel, adventure",Chunsoft,Chunsoft,Unreleased,Unreleased,"Dec 17, 2011",No,[54]
Shinobiashi,Action,Planet G,Planet G,Unreleased,Unreleased,"Oct 31, 2013",No,[55]
Shinobido 2: Revenge of Zen,Stealth,Acquire,Bandai Namco Games,"Feb 15, 2012","Feb 22, 2012","Dec 17, 2011",Yes,[56]
"Shinobi, Koi Utsutsu: Kanmitsu Hana Emaki [ja]",Otome game,Otomate,Idea Factory,Unreleased,Unreleased,"Sep 28, 2017",Yes,[57]
"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki [ja]",Otome game,Otomate,Idea Factory,Unreleased,Unreleased,"Jun 25, 2015",Yes,[58]
Shinsō-ban Black Code,Otome game,QuinRose,QuinRose,Unreleased,Unreleased,"Nov 26, 2015",Yes,[59]
Shinsō-ban Crimson Empire [ja],Otome game,QuinRose,QuinRose,Unreleased,Unreleased,"Apr 23, 2015",Yes,[60]
Shinsō-ban Heart no Kuni no Alice: Wonderful Twin World,Otome game,QuinRose,QuinRose,Unreleased,Unreleased,"Oct 29, 2015",Yes,[61]
Shinsō-ban Heart no Kuni no Alice: Wonderful Wonder World,Otome game,QuinRose,QuinRose,Unreleased,Unreleased,"Jul 30, 2015",Yes,[62]
