J-Stars Victory Vs,Spike Chunsoft,"March 19, 2014","June 26, 2015","June 30, 2015",
J-Stars Victory Vs+,Spike Chunsoft,Unreleased,"June 30, 2015","June 30, 2015",,[1]
Jak 3 HD,Naughty Dog,"February 22, 2012","February 22, 2012","February 22, 2012",3D,[2]
Jak and Daxter: The Precursor Legacy HD,Naughty Dog,"February 22, 2012","February 22, 2012","February 22, 2012",3D,[3]
Jak II HD,Naughty Dog,"February 22, 2012","February 22, 2012","February 22, 2012",3D,[4]
JAM Live Music Arcade,Zivix,Unreleased,Unreleased,"May 15, 2012",,
James Bond 007: Blood Stone,Bizarre Creations,Unreleased,"November 5, 2010","November 2, 2010",,[5]
Jane's Advanced Strike Fighters,Trickstar Games,Unreleased,"November 15, 2011","October 18, 2011",,[6]
Janline R,Recom,"August 6, 2009",Unreleased,Unreleased,,[7]
Jeopardy!,Sony Online Entertainment,Unreleased,Unreleased,"September 11, 2008",,[8]
Jeopardy! (2012),Pipeworks Software,Unreleased,Unreleased,"October 16, 2012",,[9]
Jeremy McGrath's Offroad,2XL Games,Unreleased,"March 13, 2013","June 26, 2012",,
Jet Car Stunts,Grip Digital,Unreleased,"October 8, 2014","October 7, 2014",,
Jet Set Radio,Smilebit,"February 20, 2013","September 19, 2012","September 18, 2012",,
Jetpack Joyride,Halfbrick Studios,Unreleased,"December 21, 2012","December 31, 2012",,
Jikkyou Powerful Pro Yakyuu 2010,Konami,"July 15, 2010",Unreleased,Unreleased,,[10]
Jikkyou Powerful Pro Yakyuu 2011,Konami,"July 14, 2011",Unreleased,Unreleased,,[11]
Jikkyou Powerful Pro Yakyuu 2012,Konami,"July 19, 2012",Unreleased,Unreleased,,[12]
Jikkyou Powerful Pro Yakyuu 2013,Konami,"October 24, 2013",Unreleased,Unreleased,,
Jikkyou Powerful Pro Yakyuu 2014,Konami,"October 23, 2014",Unreleased,Unreleased,,
Jikkyou Powerful Pro Yakyuu 2016,Konami,"April 28, 2016",Unreleased,Unreleased,,
Jikkyou Powerful Pro Yakyuu Championship 2017,Konami,"May 25, 2017",Unreleased,Unreleased,,
Jikkyou Powerful Pro Yakyuu: Success Special,Konami,"April 28, 2016",Unreleased,Unreleased,,
Jimmie Johnson's Anything with an Engine,Isopod Labs,Unreleased,Unreleased,"November 1, 2011",,[13]
Jissen Pachi-Slot Hisshouhou! Hokuto no Ken F - Seikimatsu Kyuuseishu Densetsu,Sega,"May 31, 2012",Unreleased,Unreleased,,[14]
Joe Danger,Hello Games,"January 26, 2012","June 9, 2010","June 8, 2010",,
Joe Danger 2: The Movie,Hello Games,Unreleased,"October 10, 2012","October 9, 2012",,
John Carpenter's Psychopath,Titan Productions,Unreleased,Unreleased,Unreleased,C,[15]
John Daly's Prostroke Golf,Gusto Games,Unreleased,"April 8, 2010","April 8, 2010",M,[citation needed]
John Woo Presents: Stranglehold,Midway Chicago,Unreleased,"November 30, 2007","October 29, 2007",,[16]
JoJo's Bizarre Adventure HD Ver.,Capcom,"August 21, 2012","August 22, 2012","August 21, 2012",,
JoJo's Bizarre Adventure: All Star Battle,CyberConnect2,"October 29, 2013","April 25, 2014","April 29, 2014",,[17]
JoJo's Bizarre Adventure: Eyes of Heaven,CyberConnect2,"December 17, 2015",Unreleased,Unreleased,,[citation needed]
Journey Collector's Edition,ThatGameCompany,"October 28, 2012","October 28, 2012","October 28, 2012",,[18]
Joust,Sony Online Entertainment,Unreleased,"June 15, 2007","May 24, 2007",,[19]
Joysound Dive (app),Xing Inc.,"November 24, 2011",Unreleased,Unreleased,,
JOYSOUND.TV Plus (app),XING,"December 11, 2014",Unreleased,Unreleased,,[20]
Juiced 2: Hot Import Nights,Juice Games / Paradigm Entertainment,"January 24, 2008","October 26, 2007","October 22, 2007",,[21]
Judge Dee: The City God Case,BigBen Interactive,Unreleased,"July 11, 2012","December 11, 2012",,
Juju,Flying Wild Hog,Unreleased,"December 10, 2014","December 9, 2014",,
Jurassic Park: The Game,Telltale Games,"November 15, 2011","November 15, 2011","November 15, 2011",,[22]
Jurassic: The Hunted,Cauldron HQ,Unreleased,Unreleased,"November 3, 2009",,[23]
Just Cause 2,Avalanche Studios,Unreleased,"March 26, 2010","March 23, 2010",,[24]
Just Dance 3,Ubisoft Paris,Unreleased,"December 9, 2011","December 6, 2011",M,[25]
Just Dance 4,Ubisoft Paris,Unreleased,"October 2, 2012","October 9, 2012",M,[citation needed]
