D & CO: Ta maison de reve en 7 jours,Atari SA,Atari SA,"March 19, 2009 (EU)",,,,
D.Gray-man: Kami no Shitotachi,Konami,Konami,"March 29, 2007 (JP)",,,,
DaGeDar,Black Lantern Studios,GameMill Publishing,"November 8, 2011 (US)",,,,
Daigasso! Band-Brothers,Nintendo,Nintendo,"December 2, 2004 (JP)",,,,
Daigasso! Band Brothers Tsuika Kyoku Cartridge,Nintendo,Nintendo,"September 26, 2005 (JP)",,,,
Daikoukai Jidai IV: Rota Nova,Koei,Koei,"March 2, 2006 (JP)",,,,
Daisenryaku DS,Genki,Genki,"May 25, 2006 (JP)",,,,
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,Paon Corporation,Paon Corporation,"April 26, 2007 (JP)",,,,
Dance Floor,Artefacts Studio,Neko Entertainment,"January 15, 2009 (EU)",,,,
Dance! It's Your Stage,Sproing,DTP Entertainment,"August 13, 2010 (EU)",,,,
Dancing on Ice,Ghostlight,Ghostlight,"April 23, 2010 (EU)",,,,
Dancing with the Stars: We Dance!,Jet Black Games,Activision,"October 12, 2008 (NA)",,,,
Daniel X The Ultimate Power,Griptonite Games,THQ,"January 12, 2010 (NA)",,,,
Danny Phantom: Urban Jungle,THQ,THQ,"September 19, 2006 (NA)",,,,
Daredemo Asobi Taizen,Agenda,Nintendo,"November 3, 2005 (JP)",,,,
Daredemo Kantan! Chou Chikun no Tsumego,Mycom,Mycom,"September 14, 2006 (JP)",,,,
Daredemo Kantan! Watanabe Akira no Tsume Shogi,Mycom,Mycom,"December 21, 2006 (JP)",,,,
The Daring Game for Girls,WXP,Majesco,"March 9, 2010 (NA)",,,,
The Dark Spire,Success,"Atlus, Success","May 22, 2008 (JP)",,,,
Das goldene Amulett des Pharao,Tivola,Tivola,"April 8, 2010 (EU)",,,,
Das grosse Tagesschau Quiz,Cranberry Production,DTP Entertainment,"September 7, 2009 (EU)",,,,
Das Magische Labyrinth,Nurogames,Kiddinx,"February 9, 2010 (EU)",,,,
Date ni Game Tsui Wake Jane! Dungeon Maker Girls Type,Global A,Idea Factory,"October 29, 2009 (JP)",,,,
Datenshi no Amai Yuuwaku x Kaikan Phase,FuRyu,FuRyu,"February 18, 2010 (JP)",,,,
Dawn of DiscoveryAnno: Create A New WorldEU,Keen Games,Ubisoft,"May 22, 2009 (EU)",,,,
Dawn of Heroes,Wicked Studios,Majesco Entertainment,"September 13, 2010 (NA)",,,,
Days of Memories,SNK Playmore,SNK Playmore,"June 14, 2007 (JP)",,,,
