J4G - A Girl's World,Snapdragon Games,dtp Young Entertainment AG,"September 8, 2009 (EU)",,,,
Jackass: The Game,Sensory Sweep Studios,"MTV Games, Red Mile Entertainment","January 8, 2008 (NA)",,,,
Jacqueline Wilson's Tracy Beaker: The Game,Snapdragon Games,dtp Young Entertainment AG,"October 16, 2010 (EU)",,,,
Jagged Alliance DS,"Strategy First, Cypron Studios",Atari,"October 28, 2008 (NA)",,,,
Jaka Jaka Music!,Plato,Plato,"September 23, 2010 (JP)",,,,
Jake Hunter Detective Story: Memories of the PastTantei Jinguuji Saburou DS: Inishie no KiokuJP,WorkJam,Aksys Games,"July 19, 2007 (JP)",,,,
Jake Hunter: Detective Chronicles,WorkJam,"Arc System Works, Aksys Games","July 19, 2007 (JP)",,,,
Jake Power: FirefighterTim Power: FirefighterEUSam Power: FirefighterAUS,Ubisoft,Ubisoft,"November 21, 2008 (EU)",,,,
Jake Power: HandymanTim Power: HandymanEUSam Power: HandymanAUS,Ubisoft,Ubisoft,"November 21, 2008 (EU)",,,,
Jake Power: PolicemanTim Power: PolicemanEUSam Power: PolicemanAUS,Ubisoft,Ubisoft,"November 21, 2008 (EU)",,,,
Jake Power: Soccer StarTim Power: FootballerEUSam Power: Soccer StarAUS,Ubisoft,Ubisoft,"November 21, 2008 (EU)",,,,
Jam Sessions,Plato,"Plato, Ubisoft","February 1, 2007 (JP)",,,,
Jam Sessions 2,Plato,"Plato, Ubisoft","October 20, 2009 (NA)",,,,
Jam with the Band,Nintendo,Nintendo,"June 26, 2008 (JP)",,,,
Jambo! Safari: Animal Rescue,Sega,Sega,"November 17, 2009 (NA)",,,,
James Cameron's Avatar: The Game,Ubisoft,Ubisoft,"December 1, 2009 (NA)",,,,
James Bond 007: Blood Stone,n-Space,Activision,"November 2, 2010 (NA)",,,,
James Patterson Women's Murder Club: Games of Passion,THQ,THQ,"September 22, 2009 (NA)",,,,
James Pond: RoboCod,Creature Labs,"Play It!, Codemasters","December 8, 2005 (PAL)",,,,
Jan Sangoku Musou,Koei,Koei,"September 28, 2006 (JP)",,,,
Jane's Hotel,Zoo Games,Zoo Games,"May 4, 2010 (NA)",,,,
Jelly Belly: Ballistic Beans!,Blue Monkey Studios,Zoo Digital Publishing,"March 27, 2009 (EU)",,,,
Jenga World Tour,Atomic Planet Entertainment,Atari,"November 13, 2007 (NA)",,,,
Jeopardy!,THQ,THQ,"November 2, 2010 (NA)",,,,
Jet Impulse,Nintendo,Nintendo,"February 8, 2007 (JP)",,,,
Jetix Puzzle Buzzle,Blast! Entertainment,Blast! Entertainment,"April 4, 2008 (PAL)",,,,
Jewel Adventures,Mastertronic,Mastertronic,"October 19, 2012 (EU)",,,,
Jewel Legends: Tree of Life,Rising Star Games,Rising Star Games,"June 17, 2011 (EU)",,,,
Jewel Link Chronicles: Mountains of Madness,Avanquest Software,Avanquest Software,"November 25, 2011 (EU)",,,,
Jewel Link: Arctic Quest,Avanquest Software,Avanquest Software,"September 13, 2013 (EU)",,,,
Jewel Link: Atlantic Quest,Avanquest Software,Avanquest Software,"February 17, 2012 (EU)",,,,
Jewel Link: Galactic Quest,Avanquest Software,Avanquest Software,"September 7, 2012 (EU)",,,,
Jewel Link: Legends of Atlantis,Avanquest Software,Avanquest Software,"July 6, 2012 (EU)",,,,
Jewel Link: Safari Quest,Avanquest Software,Avanquest Software,"March 1, 2013 (EU)",,,,
Jewel Master: Cradle of Athena,Cerasus Media,Storm City Games,"October 5, 2010 (NA)",,,,
Jewel Master: Cradle of Egypt 2,Cerasus Media,Rising Star Games,"November 6, 2012 (NA)",,,,
Jewel Master: Cradle of Persia,Cerasus Media,Rising Star Games,"July 24, 2012 (NA)",,,,
Jewel Master: Cradle of Rome 2,Cerasus Media,Rising Star Games,"June 26, 2012 (NA)",,,,
Jewel Master: Egypt,Cerasus Media,Storm City Games,"November 23, 2009 (NA)",,,,
Jewel Match,Joindots,Atari SA,"July 5, 2011 (NA)",,,,
Jewel Match 2,Joindots,Easy Interactive,"March 2, 2012 (NA)",,,,
Jewel Match 3,Suricate Software,Purple Hills,"November 30, 2012 (EU)",,,,
Jewel Pet: Kawaii Mahou no Fantasy,MTO,MTO,"April 30, 2009 (JP)",,,,
Jewel Pet: Mahou no DS Kirapi Kariin,MTO,MTO,"December 17, 2009 (JP)",,,,
Jewel Pet: Mahou no Oheyya de Issho ni Asobou!,MTO,MTO,"August 5, 2010 (JP)",,,,
Jewel Quest IV: Heritage,Engine Software,iWin,"August 26, 2011 (EU)",,,,
Jewel Quest Mysteries 2: Trail of the Midnight Heart,Licensed 4U,Licensed 4U,"November 25, 2011 (EU)",,,,
Jewel Quest Mysteries 3: The Seventh Gate,Licensed 4U,Licensed 4U,"June 29, 2012 (EU)",,,,
Jewel Quest Mysteries: Curse of the Emerald Tear,Avanquest Software,Avanquest Software,"April 23, 2010 (EU)",,,,
Jewel Quest Solitaire,Avanquest,Global Software Publishing,"April 9, 2009 (EU)",,,,
Jewel Quest V: The Sleepless Star,Licensed 4U,Licensed 4U,"April 6, 2012 (EU)",,,,
Jewel Quest: Expeditions,iWin,Activision Value,"September 18, 2007 (NA)",,,,
Jewel Quest: Solitaire Trio,iWin,Avanquest Software,"March 25, 2011 (EU)",,,,
Jewel Time Deluxe,Oxygen Interactive,O-Games,"June 17, 2011 (EU)",,,,
Jewels of the Ages,City Interactive,City Interactive,"June 28, 2011 (EU)",,,,
Jewels of the Tropical Lost Island,City Interactive,City Interactive,"October 12, 2010 (EU)",,,,
The Jidousha Kyoushuusho DS,D3 Publisher,D3 Publisher,"May 31, 2007 (JP)",,,,
Jig-a-Pix Love Is...,Frame Studios Interactive,Zushi Games Ltd,"February 5, 2010 (EU)",,,,
Jig-a-Pix Pets,Frame Studios Interactive,Destineer,"March 2, 2010 (EU)",,,,
Jig-a-Pix Wild World,Frame Studios Interactive,Destineer,"March 4, 2010 (EU)",,,,
Jig-a-Pix Wonderful World,Frame Studios Interactive,Destineer,"March 30, 2010 (EU)",,,,
Jigoku Shōjo Akekazura,Compile Heart,Compile Heart,"September 27, 2007 (JP)",,,,
Jigsaw Puzzle DS: DS de Meguru Sekai Isan no Tabi,Hudson Soft,Hudson Soft,"March 6, 2008 (JP)",,,,
Jigsaw World: Daigekitou! Jig-Battle Heroes,Nippon Ichi Software,Nippon Ichi Software,"June 26, 2008 (JP)",,,,
Jinsei Game,Takara Tomy,Takara Tomy,"December 3, 2009 (JP)",,,,
Jinsei Game DS,Atlus,Atlus,"July 27, 2006 (JP)",,,,
Jinsei Game Q DS: Heisei no Dekigoto,Takara Tomy,Takara Tomy,"December 27, 2007 (JP)",,,,
Jinsei Game Q DS: Shouwa no Dekigoto,Takara Tomy,Takara Tomy,"December 27, 2007 (JP)",,,,
Jishin DS: 72 Jikan,Jupiter Corporation,Iota,"June 25, 2009 (JP)",,,,
Jissen Pachi-Slot Hisshouhou! DS: Aladdin II Evolution,Sammy Studios,Sega,"March 30, 2006 (JP)",,,,
Jissen Pachi-Slot Hisshōhō! DS: Hokuto no Ken,Sammy Studios,Sega,"June 4, 2005 (JP)",,,,
Jissen Pachi-Slot Hisshouhou! DS: Pachi-Slot Hokuto no Ken SE,Sammy Studios,Sega,"March 10, 2006 (JP)",,,,
Joan Jade and the Gates of Xibalba,Alawar Entertainment,Easy Interactive,"November 24, 2011 (EU)",,,,
John Deere: Harvest in the Heartland,Black Lantern Studios,"Destineer, Ubisoft","November 20, 2007 (NA)",,,,
Johnny Bravo In The Hukka Mega Mighty Ultra Extreme Date-O-Rama!,EM Studios,MumboJumbo,"February 6, 2011 (EU)",,,,
Johnny no Dasshutsu Daisakusen,Success,Success,"August 28, 2008 (JP)",,,,
Johnny Test,Sarbakan Inc.,505 Games,"March 29, 2011 (NA)",,,,
Jojo's Fashion Show,GameLab,Ubisoft,"January 27, 2009 (NA)",,,,
Jonas,Altron,Disney Interactive Studios,"November 10, 2009 (NA)",,,,
Josei no Hinkakujuku DS,PHP Interface,PHP Interface,"October 23, 2008 (JP)",,,,
Joshikousei Nigeru! Shinrei Puzzle Gakuen,Skonec,Success,"January 24, 2008 (JP)",,,,
Journey to the Center of the Earth,Human Soft,THQ,"June 27, 2008 (PAL)",,,,
Juggler DS,Commonseed,Commonseed,"November 13, 2008 (JP)",,,,
Juiced 2: Hot Import Nights,Juice Games,THQ,"September 17, 2007 (NA)",,,,
Jumble Madness,Anino Entertainment,Destineer,"January 20, 2010 (NA)",,,,
Jump Super Stars,Ganbarion,"Nintendo, Tommo","August 8, 2005 (JP)",,,,
Jump Ultimate Stars,Ganbarion,"Nintendo, Tommo","November 23, 2006 (JP)",,,,
JumpStart: Deep Sea Escape,Knowledge Adventure Inc.,Knowledge Adventure Inc.,"March 15, 2011 (NA)",,,,
JumpStart: Legend of Lost Island,Knowledge Adventure Inc.,Knowledge Adventure Inc.,"March 25, 2011 (NA)",,,,
Jungle School,SouthPeak Games,SouthPeak Games,"November 29, 2011 (NA)",,,,
Junior Brain Trainer,Avanquest Software,Avanquest Software,"December 5, 2008 (EU)",,,,
Junior Brain Trainer 2,Avanquest Software,Avanquest Software,"February 8, 2011 (EU)",,,,
Junior Brain Trainer: Math Edition,Avanquest Software,Avanquest Software,"March 16, 2011 (EU)",,,,
Junior Classic Games,Avanquest Software,Avanquest Software,"August 7, 2009 (EU)",,,,
Junior Island Adventure,CyberPlanet Interactive,Maximum Family Games,"September 6, 2011 (NA)",,,,
Junior Mystery QuestJunior Mystery StoriesEU,Maximum Family Games,Maximum Family Games,"April 22, 2011 (EU)",,,,
Just Sing!,Engine Software,Conspiracy Entertainment,"July 2, 2010 (NA)",,,,
Just Sing! 2,Engine Software,PQube,"September 23, 2011 (NA)",,,,
Justice League Heroes,Sensory Sweep Studios,"Eidos Interactive, Warner Bros. Interactive Entertainment","October 17, 2006 (NA)",,,,
Juushin Embu DS,ThinkArts,D3Publisher,"November 22, 2007 (JP)",,,,
Juushinden: Ultimate Beast Battlers,Konami,Konami,"December 6, 2007 (JP)",,,,
K-1 World GP,D3 Publisher,D3 Publisher,"December 6, 2007 (JP)",,,,
K3 en de vrolijke noten,Studio 100 NV,Studio 100 NV,"April 8, 2011 (EU)",,,,
K11: Kommissare im Einsatz,Sproing,SevenOne Intermedia,"March 9, 2009 (EU)",,,,
Kabu Trader Shun,Capcom,Capcom,"June 7, 2007 (JP)",,,,
Kabushiki Baibai Trainer: Kabutore!,Konami,Konami,"December 14, 2006 (JP)",,,,
Kabushiki Baibai Trainer: Kabutore! Next,Konami,Konami,"November 29, 2007 (JP)",,,,
Kachō Shima Kōsaku DS: Dekiru Otoko no Love & Success,Konami,Konami,"March 19, 2008 (JP)",,,,
Kageyama Hideo no Hanpuku Ondoku DS Eigo,IE Institute,IE Institute,"November 27, 2008 (JP)",,,,
Kageyama Hideo no IQ Teacher DS,IE Institute,IE Institute,"November 27, 2008 (JP)",,,,
Kaiichi Otto Sensei Tokyo Daigaku Kanshuu: Sukusuku Kosodate DS: Akachan to Asobou!,Marvelous Entertainment,Marvelous Entertainment,"April 24, 2008 (JP)",,,,
Kaijuu Busters,Bandai Namco Games,Bandai Namco Games,"December 3, 2008 (JP)",,,,
Kaijuu Busters Powered,Bandai Namco Games,Bandai Namco Games,"January 20, 2011 (JP)",,,,
Kaite Oboeru: Dora-Gana,Sega,Sega,"November 27, 2008 (JP)",,,,
Kaite Shabette Hajimeyou! Monster Farm DSMonster FarmKR,Tecmo,Tecmo,"July 12, 2007 (JP)",,,,
Kaitou Rousseau,Namco,Bandai Namco Games,"June 15, 2006 (JP)",,,,
Kaizoku Sentai Gokaiger: Atsumete Henshin! 35 Sentai,Bandai Namco Games,Bandai Namco Games,"November 17, 2011 (JP)",,,,
Kakuromaniacs,FrontLine Studios,White Park Bay,"June 8, 2007 (EU)",,,,
Kambayashi Shiki Nouryoku Kaihatsu Hou: Unou Kids DS,IE Institute,IE Institute,"March 30, 2006 (JP)",,,,
Kamen Rider Battle Ganbaride: Card Battle Taisen,Natsume,Bandai,"July 29, 2010 (JP)",,,,
Kamen Rider: Dragon Knight,Natsume,D3 Publisher,"November 17, 2009 (NA)",,,,
Kamo no Hashikamo. Aimai Seikatsu no Susume,ASCII Media Works,ASCII Media Works,"December 3, 2009 (JP)",,,,
Kangaeru Chikara o Gungun Nobasu! DS Youji no Nou Tore,ShoPro,ShoPro,"July 24, 2008 (JP)",,,,
Kanji no Wataridori,Success,Success,"June 1, 2006 (JP)",,,,
Kanshū Nippon Jōshikiryoku Kentei Kyōkai: Imasara Hito ni wa Kikenai Otona no Jōshikiryoku Training DS,HAL Laboratory,Nintendo,"October 26, 2006 (JP)",,,,
Karasawa Shunichi no Zettai ni Ukeru!! Zatsugakuen DS,Takara Tomy,Takara Tomy,"March 8, 2007 (JP)",,,,
Katekyo Hitman Reborn! Bongole Shiki Taisen Battle Sugoroku!!,Takara Tomy,Takara Tomy,"March 27, 2008 (JP)",,,,
Katekyo Hitman Reborn! DS – Shinuki Max! Vongola Carnival!!,Takara Tomy,Takara Tomy,"March 29, 2007 (JP)",,,,
Katekyo Hitman Reborn DS: Fate of Heat,Takara Tomy,Takara Tomy,"May 1, 2008 (JP)",,,,
Katekyo Hitman Reborn! DS Fate of Heat II - Unmei no Futari,Takara Tomy,Takara Tomy,"April 16, 2009 (JP)",,,,
Katekyo Hitman Reborn! DS Fate of Heat III - Yuki no Shugosha Raishuu!,Takara Tomy,Takara Tomy,"April 29, 2010 (JP)",,,,
Katekyo Hitman Reborn! DS Flame Rumble Hyper - Moeyo Mirai,Takara Tomy,Takara Tomy,"July 24, 2008 (JP)",,,,
Katekyo Hitman Reborn! DS Flame Rumble Kaien Ring Soudatsuen!,Takara Tomy,Takara Tomy,"September 20, 2007 (JP)",,,,
Katekyo Hitman Reborn! DS Flame Rumble Mukuro Kyoushuu,Takara Tomy,Takara Tomy,"June 28, 2007 (JP)",,,,
Katekyo Hitman Reborn! DS Flame Rumble X,Takara Tomy,Takara Tomy,"July 23, 2009 (JP)",,,,
Katekyo Hitman Reborn! DS Flame Rumble XX - Kessen! Real 6 Chouka,Takara Tomy,Takara Tomy,"July 22, 2010 (JP)",,,,
Katekyo Hitman Reborn! DS: Mafia Daishuugou Bongole Festival,Takara Tomy,Takara Tomy,"December 4, 2008 (JP)",,,,
Katekyo Hitman Reborn! Ore ga Boss! Saikyou Family Taisen,Takara Tomy,Takara Tomy,"December 17, 2009 (JP)",,,,
The Kayou Generation,Artoon,AQ Interactive,"June 18, 2009 (JP)",,,,
Kawaii Koinu DS 2,MTO,MTO,"October 9, 2008 (JP)",,,,
Kawaii Koinu DS 3,MTO,MTO,"March 18, 2010 (JP)",,,,
Kawaii Koneko DS,MTO,MTO,"January 24, 2008 (JP)",,,,
Kawaii Koneko DS 2,MTO,MTO,"July 23, 2009 (JP)",,,,
Kawaii Koneko DS 3,MTO,MTO,"December 2, 2010 (JP)",,,,
Keiba Navi: Uma no Suke,Starfish,Starfish,"December 14, 2006 (JP)",,,,
Keiba Navi: Uma no Suke 2,Starfish SD,Starfish SD,"October 25, 2007 (JP)",,,,
Keiji J.B. Harold no Jikenbo: Manhattan Requiem & Kiss of Murder,althi Inc.,fonfun,"November 27, 2008 (JP)",,,,
Keiji J.B. Harold no Jikenbo: Murder Club,althi Inc.,fonfun,"February 21, 2008 (JP)",,,,
Keikishi Gunzou Presents: Monoshiri Bakumatsu-Ou,Global A,Global A,"May 1, 2008 (JP)",,,,
Keitai Sousakan 7 DS: Buddy Sequence,5pb.,5pb.,"March 26, 2009 (JP)",,,,
Kekkaishi: Karasumori Ayakashi Kidan,Bandai Namco Games,Bandai Namco Games,"May 24, 2007 (JP)",,,,
Kekkaishi: Kokubourou Shuurai,Bandai Namco Games,Bandai Namco Games,"March 20, 2008 (JP)",,,,
Keltis,Promotion Software,United Soft Media,"July 6, 2009 (EU)",,,,
Kemeko Deluxe! DS: Yome to Meka to Otoko to Onna,"5pb., Suzak",Genterprise,"February 26, 2009 (JP)",,,,
Kenshūi Tendo Doctor,Spike,Spike,"December 2, 2004 (JP)",,,,
Kero Kero 7,Amedio,Bandai,"January 19, 2006 (JP)",,,,
Keroro Gunsou: Enshuu da Yo! Zenin Shuugou Part 2,Aspect,Bandai Namco Games,"February 22, 2007 (JP)",,,,
Keroro RPG: Kishi to Musha to Densetsu no Kaizoku,7thChord,Bandai Namco Games,"March 4, 2010 (JP)",,,,
Keshikasu-Kun: Battle Kas-tival,Inti Creates,Konami,"July 15, 2010 (JP)",,,,
Ketsui Death Label,Cave,Arika,"October 23, 2008 (JP)",,,,
Kid Paddle Blorks Invasion,Mistic Software,Atari SA,"August 31, 2007 (EU)",,,,
Kid Paddle Lost in the Game,Mistic Software,Atari SA,"October 1, 2008 (EU)",,,,
Kidou Gekidan Haro Ichiza Gundam Mahjong DS,Microvision,Bandai,"December 29, 2005 (JP)",,,,
Kidou Gekidan Haro Ichiza: Gundam Mahjong + Z: Sara ni Deki Ruyouni Nattana!,Microvision,Bandai,"September 6, 2007 (JP)",,,,
Kidou Senshi Gundam 00,Bandai Namco Games,Bandai Namco Games,"March 27, 2008 (JP)",,,,
Kids Learn 2 Think: A+ EditionTHINK Kids: Ist doch logisch!DE,Engine Software,Talking Stick Games,"May 22, 2012 (NA)",,,,
Kids Learn Math: A+ Edition,Engine Software,Talking Stick Games,"September 4, 2011 (NA)",,,,
Kids Learn Music: A+ EditionMusik fuer KidsDE,Engine Software,Talking Stick Games,"September 4, 2011 (NA)",,,,
Kids Learn Spelling and Grammar: A+ EditionGripsKids: DeutschDE,Engine Software,Talking Stick Games,"March 2, 2012 (NA)",,,,
Kids thinkSMARTTHINK Kids: Spiel dich schlau!DEL'Entraîneur Cérébral: KidsFR,Conspiracy Entertainment,Mentor Interactive,"June 22, 2010 (NA)",,,,
Kikansha Thomas DS de Hajimeru Chiiku Gakushuu,Rocket Company,Rocket Company,"July 24, 2008 (JP)",,,,
Kikansha Thomas: Kokugo Sansuu Eigo,Rocket Company,Rocket Company,"August 2, 2007 (JP)",,,,
Kikiite Hajimaru: Eigo Kaiwa Training - KikiTore,Benesse,Benesse,"December 4, 2007 (JP)",,,,
Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,Benesse,Benesse,"June 28, 2007 (JP)",,,,
Kimi ni Todoke: Sodateru Omoi,Bandai Namco Games,Bandai Namco Games,"October 15, 2009 (JP)",,,,
Kimi ni Todoke: Tsutaeru Kimochi,Bandai Namco Games,Bandai Namco Games,"April 7, 2011 (JP)",,,,
Kimi no Yusha,SNK Playmore,SNK Playmore,"October 23, 2008 (JP)",,,,
Kimokawae!,5pb.,5pb.,"March 5, 2009 (JP)",,,,
Kindaichi Shounen no Jikenbou: Akuma no Satsujin Koukai,Tomcat System,Creative Core,"September 17, 2009 (JP)",,,,
King of Clubs,Oxygen Games,Oxygen Games,"July 25, 2008 (PAL)",,,,
Kingdom Hearts 358/2 Days,h.a.n.d.,Square Enix,"May 30, 2009 (JP)",,,,
Kingdom Hearts Re:coded,h.a.n.d.,Square Enix,"October 7, 2010 (JP)",,,,
Kira Kira Pop Princess,Dimple Entertainment,"505 Games, Dimple Entertainment","October 26, 2006 (JP)",,,,
Kirarin * Revolution: Atsumete Change! Kurikira * Code,Konami,Konami,"December 20, 2008 (JP)",,,,
Kirarin * Revolution: Kira Kira Idol Audition,Konami,Konami,"August 10, 2006 (JP)",,,,
Kirarin * Revolution: Mezase! Idol Queen,Konami,Konami,"November 4, 2010 (JP)",,,,
Kirarin * Revolution: Minna de Odorou Furi Furi Debut!,Konami,Konami,"July 24, 2008 (JP)",,,,
Kirarin * Revolution: Naasan to Issho,Konami,Konami,"April 29, 2010 (JP)",,,,
Kirarin * Revolution: Tsukutte Misechao! Kime * Kira Stage,Konami,Konami,"December 13, 2007 (JP)",,,,
Kirby Mass Attack,HAL Laboratory,Nintendo,"August 4, 2011 (JP)",,,,
Kirby Super Star Ultra,HAL Laboratory,Nintendo,"September 22, 2008 (NA)",,,,
Kirby: Squeak Squad,"Flagship, HAL Laboratory",Nintendo,"November 2, 2006 (JP)",,,,
Kirby: Canvas Curse,HAL Laboratory,Nintendo,"March 24, 2005 (JP)",,,,
Kirei Zukin Seikatsu,Infinity,Columbia Music Entertainment,"April 22, 2010 (JP)",,,,
Kirei Zukin Seikatsu 2,Infinity,Columbia Music Entertainment,"April 28, 2011 (JP)",,,,
Kirihara Shoten Forest: Eigo @ DS,Ertain,Ertain,"March 26, 2008 (JP)",,,,
Kirihara Shoten Kanshuu: Daigakusei Ryoku Kentei DS,ASK,ASK,"December 4, 2008 (JP)",,,,
Knerten Gets Married,Ravn Studio,PAN Vision,"October 14, 2010 (EU)",,,,
Knights in the Nightmare,Sting Entertainment,"Atlus, Sting Entertainment","September 25, 2008 (JP)",,,,
Knock 'Em Downs: World's Fair,Guidance Interactive,Guidance Interactive,"May 8, 2009 (NA)",,,,
Know How,Bitfield GmbH,cdv Software,"October 30, 2008 (EU)",,,,
Know How 2,Bitfield GmbH,cdv Software,2010 (EU),,,,
Kobun Kanbun DS,IE Institute,IE Institute,"November 5, 2009 (JP)",,,,
Kodawari Saihai Simulation: Ocha no Ma Pro Yakyuu DS,Now Production,Now Production,"June 4, 2009 (JP)",,,,
Kodawari Saihai Simulation: Ocha no Ma Pro Yakyuu DS 2010 Nendohan,Now Production,Now Production,"April 1, 2010 (JP)",,,,
Koh-Lanta: Survie Dans La Jungle!,Mindscape,Mindscape,"October 9, 2009 (EU)",,,,
Koinu de Kururin,MTO,MTO,"February 14, 2008 (JP)",,,,
Koisuru Purin! Koi wa Daibouken! Dr. Kanmi no Yabou!?,Tamsoft,Tryfirst,"November 6, 2008 (JP)",,,,
Kokoro ga Uruou Birei Aquarium DS 2: Sekai no Uo to Ikura-Kujira Tachi,LightBee,Ertain,"December 25, 2008 (JP)",,,,
Koma Neko DS,Suzak,Genterprise,"July 24, 2008 (JP)",,,,
Konami Classics Series: Arcade Hits,Konami,Konami,"March 15, 2007 (JP)",,,,
Konductra,oeFun,O3 Entertainment,"October 31, 2006 (NA)",,,,
Kono Quiz Yarou!!,Namco,Namco,"February 16, 2006 (JP)",,,,
Korede Haji o Kakanai: Ashita Tsukaeru DS Business Manner,Genki,Genki,"April 26, 2007 (JP)",,,,
Kotoba no Puzzle: Mojipittan DS,Namco Bandai Games,Namco Bandai Games,"March 15, 2007 (JP)",,,,
"Kou Rate Ura Mahjong Retsuden Mukoubuchi: Goburei, Shuuryou desu ne",TamTam,Pi Arts,"July 26, 2007 (JP)",,,,
Kouchuu Kakutou: Mushi 1 Grand Prix,Rocket Company,Rocket Company,"November 24, 2005 (JP)",,,,
Kouchuu Ouja Mushi King: Greatest Champion e no Michi 2,Family Entertainment,Sega,"July 27, 2006 (JP)",,,,
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS,Family Entertainment,Sega,"December 8, 2005 (JP)",,,,
Kouchuu Ouja: Mushi King Super Collection,Family Entertainment,Sega,"July 19, 2007 (JP)",,,,
Kouenji Joshi Soccer 2: Koi wa Nebagiba Kouenji,Starfish SD,Starfish SD,"November 22, 2007 (JP)",,,,
