Bases Loaded 3,TOSE,Jaleco,Unreleased,September 1991,Unreleased
Bases Loaded 4,TOSE,Jaleco,Unreleased,April 1993,Unreleased
Batman: The Video Game,Sunsoft,Sunsoft,Sunsoft,February 1990,"September 14, 1990"
Batman: Return of the Joker,Sunsoft,Sunsoft,Sunsoft,December 1991,"November 19, 1992"
Batman Returns,Konami,Konami,Konami,January 1993,1993
Battle Chess,Beam Software,Data East,Unreleased,July 1990,Unreleased
The Battle of Olympus,Infinity,Brøderbund,Nintendo,December 1989,"September 26, 1991"
Battle Tank,Imagineering,Absolute Entertainment,Unreleased,September 1990,Unreleased
Battleship,Mindscape,Mindscape,Mindscape,September 1993,1993
Battletoads,Rare,Tradewest,Tradewest,June 1991,"February 18, 1993"
Battletoads & Double Dragon,Rare,Tradewest,Nintendo,June 1993,1993
Beetlejuice,Rare,LJN,Unreleased,May 1991,Unreleased
Best of the Best: Championship Karate,Movie Software,Electro Brain,Loriciel,December 1992,1993
Bigfoot,Beam Software,Acclaim Entertainment,Acclaim Entertainment,August 1990,"January 24, 1991"
Bill & Ted's Excellent Video Game Adventure,Rocket Science Productions,LJN,Unreleased,August 1991,Unreleased
Bill Elliott's NASCAR Challenge,Distinctive Software,Konami,Unreleased,December 1991,Unreleased
Bionic Commando,Capcom,Capcom,Capcom,December 1988,"October 26, 1990"
The Black Bass,Another,Hot-B,Unreleased,September 1989,Unreleased
Blades of Steel,Konami,Konami,Konami,December 1988,"November 23, 1990"
Blaster Master,Sunsoft,Sunsoft,Sunsoft,November 1988,"April 25, 1991"
The Blue Marlin,Hot-B,Hot-B,Unreleased,July 1992,Unreleased
The Blues Brothers,Titus Software,Titus Software,Titus Software,September 1992,1992
Bo Jackson Baseball,Beam Software,Data East,Unreleased,October 1991,Unreleased
Bomberman,Hudson Soft,Hudson Soft,Unreleased,January 1989,Unreleased
Bomberman II (NA)Dynablaster (EU),Hudson Soft,Hudson Soft,Hudson Soft,February 1993,1991
Bonk's Adventure,AI,Hudson Soft,Unreleased,January 1994,Unreleased
Boulder Dash,"Data East, Sakata SAS",JVC Musical Industries,Nintendo,June 1990,1990
A Boy and His Blob: Trouble on Blobolonia,Imagineering,Absolute Entertainment,Nintendo,January 1990,1991
Bram Stoker's Dracula,Probe Software,Sony Imagesoft,Sony Imagesoft,September 1993,1993
Break Time: The National Pool Tour,Opera House,FCI,Unreleased,January 1993,Unreleased
BreakThru,Data East,Data East,Unreleased,November 1987,Unreleased
Bubble Bobble,Taito,Taito,Taito,November 1988,October 1990
Bubble Bobble Part 2,OLMI.T.L,Taito,Unreleased,August 1993,Unreleased
Bucky O'Hare,Konami,Konami,Palcom Software,January 1992,"February 18, 1993"
The Bugs Bunny Birthday Blowout (NA)The Bugs Bunny Blowout (EU),Kemco,Kemco*Seika,Kemco,September 1990,1990
The Bugs Bunny Crazy Castle,Kemco,Kemco*Seika,Unreleased,August 1989,Unreleased
Bump 'n' Jump,"Data East, Sakata SAS",Vic Tokai,Unreleased,December 1988,Unreleased
Burai Fighter,KID,Taxan,Nintendo,March 1990,1990
BurgerTime,"Data East, Sakata SAS",Data East,Unreleased,May 1987,Unreleased
Cabal,Zippo Games,Milton Bradley Company,Unreleased,June 1990,Unreleased
Caesars Palace,Realtime Associates,Virgin Interactive,Unreleased,December 1992,Unreleased
California Games,Rare,Milton Bradley Company,Milton Bradley Company,June 1989,1990
Capcom's Gold Medal Challenge '92,Make Software,Capcom,Capcom,August 1992,"June 17, 1993"
Captain America and The Avengers,Data East,Data East,Unreleased,December 1991,Unreleased
Captain Planet and the Planeteers,Chris Gray Enterprises,Mindscape,Mindscape,September 1991,"August 20, 1992"
Captain Skyhawk,Rare,Milton Bradley Company,Nintendo,June 1990,"May 26, 1994"
Casino Kid,SOFEL,SOFEL,Unreleased,October 1989,Unreleased
Casino Kid 2,SOFEL,SOFEL,Unreleased,April 1993,Unreleased
Castelian,Bits Studios,Triffix,Storm,June 1991,1993
Castle of Dragon,Athena,SETA,Unreleased,June 1990,Unreleased
Castlequest,ASCII,Nexoft,Unreleased,September 1989,Unreleased
Castlevania,Konami,Konami,Konami,May 1987,"December 19, 1988"
Castlevania II: Simon's Quest,Konami,Konami,Konami,December 1988,"April 27, 1990"
Castlevania III: Dracula's Curse,Konami,Konami,Palcom Software,September 1990,"December 10, 1992"
Caveman Games,Painting by Numbers,Data East,Unreleased,October 1990,Unreleased
Championship Bowling,Athena,Romstar,Unreleased,December 1989,Unreleased
Championship Pool,Bitmasters,Mindscape,Unreleased,October 1993,Unreleased
